DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.055,0,0.055,2.07,-7.511,0.1785,-33.829,-6.4255,0.395,3.6145,14.184,-1.335
1,1.5,0.103,0,0.103,1.8705,-7.725,0.184,-27.9985,-6.4605,0.38,3.6985,14.126,-1.3295
1,2.5,0.0745,0,0.0745,1.831,-5.482,0.1945,-21.256,-6.417,0.37,3.94,14.126,-1.226
1,3.5,0.098,0,0.098,1.771,-5.3975,0.1935,-20.011,-6.6305,0.395,3.8305,14.134,-1.394
1,4.5,0.08,0,0.08,2.2065,-5.344,0.1785,-22.314,-6.8845,0.395,3.706,14.078,-1.2105
1,5.5,0.075,0,0.075,2.394,-5.528,0.1775,-19.093,-6.805,0.395,3.7905,13.83,-1.137
1,6.5,0.054,0,0.054,2.393,-6.321,0.184,-20.807,-7.108,0.39,3.737,13.664,-1.014
1,7.5,0.045,0,0.045,2.306,-5.117,0.188,-18.5875,-7.728,0.37,3.7105,13.702,-0.14
1,8.5,0.031,0,0.031,3.5435,-1.4385,0.184,-3.9735,-7.5425,0.375,3.783,13.753,34.5665
1,9.5,0.067,0,0.067,9.878,4.9105,0.2145,19.339,-6.3175,0.475,3.9545,13.755,147.7265
1,10.5,0.046,0,0.046,14.6775,10.827,0.2305,42.407,-5.408,0.54,4.3185,13.71,268.337
1,11.5,0.092,0,0.092,17.472,15.001,0.2425,59.8975,-5.1335,0.635,4.583,13.765,354.6265
1,12.5,0.047,0,0.047,23.3995,18.2115,0.237,79.208,-4.017,0.72,4.717,13.87,400.148
1,13.5,0.049,0,0.049,20.3235,16.3905,0.236,69.381,-3.8965,0.755,4.545,13.932,397.822
1,14.5,0.075,0,0.075,18.5485,11.4745,0.245,45.885,-3.8225,0.805,4.487,14.012,299.2925
1,15.5,0.046,0,0.046,14.5665,3.6125,0.229,19.344,-3.764,0.845,4.507,14.131,176.4395
1,16.5,0.071,0,0.071,9.963,-2.953,0.214,-9.0755,-3.66,0.72,4.181,14.273,53.533
1,17.5,0.0845,0,0.0845,3.8605,-8.7295,0.173,-42.304,-4.0645,0.595,3.562,14.303,0.65
1,18.5,0.069,0,0.069,2.1175,-7.133,0.173,-41.169,-5.023,0.52,3.5995,14.266,-1.29
1,19.5,0.0785,0,0.0785,2.253,-8.164,0.177,-35.8175,-5.442,0.48,3.599,14.288,-1.1965
1,20.5,0.039,0,0.039,1.62,-7.8305,0.164,-33.0705,-5.849,0.475,3.5055,14.275,-1.1585
1,21.5,0.079,0,0.079,1.758,-8.883,0.183,-34.7885,-6.252,0.42,3.577,14.214,-1.1495
1,22.5,0.045,0,0.045,1.821,-7.455,0.186,-33.351,-6.388,0.405,3.55,14.183,-1.196
1,23.5,0.066,0,0.066,2.066,-7.845,0.1785,-30.7255,-6.5945,0.385,3.4485,14.126,-1.1535
2,0.5,0.0585,0,0.0585,1.2625,-3.752,0.1565,-16.9,-7.7905,0.395,3.7935,13.7405,-0.875
2,1.5,0.056,0,0.056,0.639,-3.9,0.1445,-12.9135,-7.8715,0.36,3.3675,13.6085,-0.804
2,2.5,0.06,0,0.06,0.5745,-4.008,0.1475,-13.643,-8.4105,0.335,3.489,13.4995,-0.866
2,3.5,0.097,0,0.097,0.696,-3.848,0.1505,-10.4515,-8.89,0.32,3.1585,13.4045,-0.79
2,4.5,0.055,0,0.055,0.459,-2.6555,0.153,-8.497,-9.105,0.325,3.3225,13.359,-0.5445
