DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.541,0,0.5425,0.001,0.001,0.211,-1.255,-24.64,0.18,4.6255,-9999,0.1944
1,1.5,0.546,0,0.517,5e-04,0.001,0.22,-1.3705,-24.955,0.175,4.6,-9999,0.19755
1,2.5,0.353,0,0.3425,0,0.001,0.2345,-1.433,-25.025,0.175,5.041,-9999,0.19755
1,3.5,0.213,0,0.2625,0,-0.763,0.2285,-1.3795,-24.89,0.18,4.87,-9999,0.19755
1,4.5,0.2835,0,0.2835,0,0.001,0.22,-1.595,-24.695,0.18,4.5015,-9999,0.1944
1,5.5,0.293,0,0.21,0,0.001,0.2395,-1.1875,-24.61,0.18,5.052,-9999,0.1944
1,6.5,0.091,0,0.091,0,0.001,0.228,-1.151,-24.92,0.17,5.1025,-9999,0.1845
1,7.5,0.617,0,0.55,0,0.001,0.24,-1.2565,-24.67,0.17,4.897,-9999,0.1944
1,8.5,0.752,0,0.7315,0.001,0.001,0.25,-1.268,-24.705,0.175,4.8505,-9999,0.1944
1,9.5,0.62,0,0.6555,0.001,0.001,0.21,-1.154,-24.43,0.18,4.4715,-9999,0.1944
1,10.5,0.279,0,0.342,0,0.001,0.208,-1.1275,-24.855,0.17,4.756,-9999,0.195975
1,11.5,0.5135,0,0.515,0,0.001,0.206,-1.4795,-24.75,0.18,4.5305,-9999,0.1944
1,12.5,0.1395,0,0.2025,0.001,0.001,0.1755,-1.7845,-24.71,0.17,4.4295,-9999,0.20115
1,13.5,0.2975,0,0.302,0.001,0.001,0.184,-1.5235,-24.945,0.18,4.25,-9999,0.4023
1,14.5,0.322,0,0.302,0.001,0.001,0.208,-1.5735,-25.22,0.175,4.336,-9999,0.4023
1,15.5,0.438,0,0.413,0,0.001,0.223,-1.447,-25.29,0.18,4.4505,-9999,0.20115
1,16.5,0.249,0,0.252,0.001,0.001,0.23,-1.286,-25.075,0.18,4.4365,-9999,0.19755
1,17.5,0.1735,0,0.1735,0,0.001,0.241,-1.256,-24.97,0.18,4.525,-9999,0.1944
1,18.5,0.146,0,0.167,0.001,0.001,0.23,-1.0635,-25.195,0.18,4.549,-9999,0.1944
1,19.5,0.178,0,0.22,0,0.001,0.174,-1.094,-24.75,0.175,4.504,-9999,0.195975
1,20.5,0.423,0,0.321,0.001,0.001,0.198,-1.153,-25.025,0.17,4.4835,-9999,0.19125
1,21.5,0.177,0,0.161,0,0.001,0.2,-1.177,-25.005,0.18,4.764,-9999,0.1944
1,22.5,-0.113,0,-0.0985,0,-1.824,0.21,-1.1385,-25.05,0.175,4.655,-9999,0.1944
1,23.5,0.085,0,0.111,5e-04,-0.832,0.1915,-1.284,-24.78,0.18,4.462,-9999,0.18765
2,0.5,0.1345,0,0.244,5e-04,-3.203,0.248,-1.774,-25.53,0.17,2.38,-9999,0.10395
2,1.5,0.349,0,0.356,0.001,-3.57,0.25,-1.602,-25.37,0.17,2.372,-9999,0.15075
2,2.5,0.4865,0,0.5095,0.001,-3.6925,0.212,-1.5755,-25.47,0.17,2.435,-9999,0.17775
2,3.5,0.3905,0,0.432,0,-4.98,0.23,-1.755,-25.025,0.18,2.3825,-9999,0.162675
2,4.5,0.265,0,0.279,0.002,-5.34,0.255,-1.684,-25.705,0.17,2.3015,-9999,0.150975
2,5.5,0.2205,0,0.251,0.001,-6.5,0.205,-1.7885,-25.465,0.17,2.3735,-9999,0.1206
2,6.5,0.42,0,0.47,0.001,-5.8185,0.207,-1.848,-25.57,0.17,2.2875,-9999,0.1224
2,7.5,0.335,0,0.4045,5e-04,-4.009,0.223,-1.736,-25.525,0.17,2.0485,-9999,0.15435
2,8.5,0.279,0,0.285,0,-3.87,0.23,-1.7195,-25.425,0.17,2.02,-9999,0.174375
2,9.5,0.379,0,0.388,0.001,-4.96,0.242,-1.5925,-25.305,0.17,2.0995,-9999,0.1809
2,10.5,0.095,0,0.222,0,-4.645,0.238,-1.359,-25.43,0.17,2.329,-9999,0.18765
2,11.5,0.47,0,0.494,0.0405,-4.025,0.246,-1.5705,-25.54,0.17,2.618,-9999,0.39465
2,12.5,0.305,0,0.353,0.0035,-2.83,0.241,-2.079,-25.24,0.17,2.4495,-9999,1.44585
2,13.5,0.286,0,0.374,-0.0045,-4.266,0.246,-2.3305,-25.1,0.17,2.3075,-9999,3.195
2,14.5,0.131,0,0.1985,0.005,-5.26,0.232,-2.5425,-25.045,0.175,2.136,-9999,3.654
2,15.5,0.277,0,0.331,0,-3.49,0.2465,-2.26,-25.32,0.18,2.5255,-9999,2.266425
2,16.5,0.287,0,0.401,0.001,-2.9,0.263,-1.7285,-25.405,0.17,2.688,-9999,0.533025
2,17.5,0.2345,0,0.432,0,-2.63,0.2275,-1.6025,-25.21,0.17,2.64,-9999,0.19125
2,18.5,0.682,0,0.646,5e-04,-3.11,0.27,-1.613,-25.4,0.17,2.502,-9999,0.16065
2,19.5,0.241,0,0.4755,0,-4.297,0.271,-1.7395,-25.64,0.17,2.345,-9999,0.11385
2,20.5,-0.036,0,0.0475,0.003,-5.73,0.256,-1.677,-25.95,0.17,2.412,-9999,0.08055
2,21.5,0.197,0,0.261,0.001,-4.884,0.268,-1.6505,-25.66,0.17,2.5385,-9999,0.09405
2,22.5,0.277,0,0.341,0,-4.455,0.2605,-1.9155,-25.3,0.17,2.434,-9999,0.0468
2,23.5,0.461,0,0.4875,0.001,-4.09,0.26,-1.8985,-25.52,0.17,2.5045,-9999,0.08055
3,0.5,-0.055,0,-0.0055,-0.003,-9.06,0.285,-1.281,-24.9,0.18,3.6115,-9999,0.14085
3,1.5,0.13,0,0.097,0.005,-6.16,0.24,-1.2375,-24.935,0.18,3.7225,-9999,0.1539
3,2.5,0.561,0,0.401,0.001,-5.43,0.24,-1.138,-24.705,0.18,3.5975,-9999,0.1809
3,3.5,0.171,0,0.171,0.004,-6.68,0.259,-1.1765,-24.595,0.18,3.598,-9999,0.194625
3,4.5,0.16,0,0.16,0.002,-6.61,0.2675,-0.914,-25.155,0.18,3.294,-9999,0.1962
3,5.5,0.7255,0,0.23,-0.017,-5.002,0.323,-0.7985,-24.81,0.18,3.317,-9999,0.1746
3,6.5,0.334,0,0.2675,0.002,-5.018,0.2815,-0.6435,-25.105,0.18,3.397,-9999,0.171
3,7.5,0.303,0,0.295,5e-04,-7.423,0.234,-0.8195,-25.19,0.175,3.492,-9999,0.20115
