DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.025,-9999,-9999,0.05,-2.69,0.08,-66.19,5.81,4.68348915906762,0.53,13.555,-4.67
1,1.5,0.155,-9999,-9999,0.165,-2.26,0.09,-65.08,5.98,5.06049953982471,0.56,14.03,-4.76
1,2.5,0.08,-9999,-9999,-0.04,-2.14,0.09,-65.64,6.13,4.76606958915985,0.56,13.63,-4.71
1,3.5,-0.025,-9999,-9999,0.31,-2.71,0.09,-64.57,5.95,4.95893158175295,0.595,13.615,-4.81
1,4.5,0.015,-9999,-9999,0.07,-2.98,0.1,-65.125,6.07,4.91426530099563,0.57,13.615,-4.8
1,5.5,0.055,-9999,-9999,0.62,-1.82,0.09,-65.335,5.89,5.1606614577208,0.59,13.6,-4.88
1,6.5,-0.11,-9999,-9999,-0.37,-1.8,0.1,-65.84,5.64,5.00857200683156,0.6,13.615,-4.73
1,7.5,-0.065,-9999,-9999,-0.16,-2.01,0.09,-39.52,5.78,4.99333816527139,0.545,13.6,6.85
1,8.5,-0.23,-9999,-9999,1.585,0.395,0.095,34.14,6.56,5.46628671015627,0.54,13.6,124.74
1,9.5,-1.875,-9999,-9999,17.1,15.055,0.17,155.6,7.795,6.91090025632485,0.54,13.6,283.775
1,10.5,-3.98,-9999,-9999,42.275,79.965,0.44,277.02,8.81,6.8211433099512,0.995,13.615,418.685
1,11.5,-5.45,-9999,-9999,54.445,133.78,0.54,355.93,9.355,7.3851894957377,1.235,13.615,506.2
1,12.5,-4.42,-9999,-9999,66.34,131.1,0.56,364.21,9.58,7.56702855356141,1.12,13.6,519.335
1,13.5,-3.59,-9999,-9999,49.275,119.485,0.56,309.02,9.53,6.88121575595547,1.07,13.615,457.33
1,14.5,-3.135,-9999,-9999,37.185,70.35,0.48,202.49,9.71,6.87439497826797,0.9,13.6,332.67
1,15.5,-1.81,-9999,-9999,22.13,22.33,0.36,21.585,8.705,6.23889362124799,0.81,13.6,77.225
1,16.5,-0.12,-9999,-9999,2.515,-2.265,0.18,-50.51,8.18,5.07768235762653,0.61,13.58,12.8
1,17.5,0.04,-9999,-9999,-0.02,-1.61,0.09,-67.39,6.76,4.52483548112913,0.5,13.565,-4.79
1,18.5,-0.03,-9999,-9999,-0.18,-1.035,0.08,-66.025,6.025,4.23156100170969,0.58,13.515,-4.945
1,19.5,0.025,-9999,-9999,-0.11,-2.02,0.08,-66.17,5.8,3.96223807644622,0.585,13.49,-4.73
1,20.5,0.06,-9999,-9999,-0.005,-2.28,0.09,-65.79,5.93,4.38235322892964,0.56,13.49,-4.745
1,21.5,0.125,-9999,-9999,0.43,-2.17,0.08,-64.89,5.91,4.27731459708481,0.54,13.48,-4.77
1,22.5,0.03,-9999,-9999,-0.09,-1.36,0.08,-65.61,5.915,4.72656487476915,0.51,13.48,-4.69
1,23.5,0.04,-9999,-9999,0.28,-2.525,0.09,-64.96,5.925,5.03536496396907,0.55,13.48,-4.735
2,0.5,0.11,-9999,-9999,-0.07,-3.255,0.08,-65.175,9.225,6.88007261383057,0.56,12.9,-4.795
2,1.5,0.02,-9999,-9999,-0.26,-2.62,0.08,-63.75,9.075,6.87250827293963,0.57,12.9,-4.96
2,2.5,0.05,-9999,-9999,0.03,-2.18,0.09,-64.715,8.95,6.96818155326342,0.57,12.865,-4.9
2,3.5,0.01,-9999,-9999,-0.27,-3.35,0.08,-64.565,8.96,7.16471283171472,0.51,12.815,-4.89
2,4.5,0.015,-9999,-9999,0.35,-2.355,0.09,-65.17,9.075,7.19825335739888,0.555,12.815,-4.89
2,5.5,-0.01,-9999,-9999,-0.05,-2.32,0.09,-64.765,8.795,7.26296904177938,0.57,12.815,-4.93
2,6.5,0.01,-9999,-9999,-0.005,-3.16,0.09,-64.175,8.855,7.3884483802198,0.56,12.8,-4.555
2,7.5,-0.035,-9999,-9999,0.505,-2.315,0.08,-30.265,8.78,7.29038599219938,0.57,12.79,8.535
2,8.5,-0.37,-9999,-9999,1.99,-2.56,0.09,46.915,9.975,8.33656980974419,0.52,12.78,144.905
2,9.5,-2.56,-9999,-9999,24.925,18.05,0.18,172.29,11.625,9.20960815588927,0.54,12.78,307.755
2,10.5,-5.03,-9999,-9999,51.76,95.76,0.46,291.495,12.57,9.39384616943635,1.14,12.78,446.07
2,11.5,-6.63,-9999,-9999,77.895,155.48,0.58,378.68,13.23,9.58863399598378,1.3,12.765,548.12
2,12.5,-6.615,-9999,-9999,67.995,164.5,0.6,388.6,13.155,9.35229427283785,1.265,12.75,556.475
2,13.5,-5.675,-9999,-9999,68.735,161.735,0.59,343.915,13.22,9.5277304510017,1.14,12.75,501.91
2,14.5,-4.595,-9999,-9999,60.1,116.31,0.53,231.965,13.255,9.66335683211724,1.05,12.765,374.805
2,15.5,-2.74,-9999,-9999,34.26,38.605,0.45,35.155,12.81,8.73064525636129,0.885,12.75,105.98
2,16.5,-0.23,-9999,-9999,5.56,1.48,0.24,-42.28,12.03,7.07996046900255,0.71,12.75,27.555
2,17.5,0.28,-9999,-9999,-0.25,-2.975,0.11,-66.355,10.7,5.63369091656336,0.58,12.75,-3.02
2,18.5,0.32,-9999,-9999,0.64,-2.42,0.09,-65.575,9.89,5.77598875328285,0.56,12.75,-5.035
2,19.5,0.16,-9999,-9999,-0.685,-2.375,0.09,-63.46,9.55,6.032245486062,0.545,12.75,-4.875
2,20.5,0.33,-9999,-9999,0.43,-2.19,0.08,-67.02,9.525,5.98483643605366,0.525,12.75,-4.93
2,21.5,0.025,-9999,-9999,-0.13,-2.24,0.09,-67.07,9.425,6.0830174771911,0.535,12.84,-4.965
2,22.5,0.215,-9999,-9999,0.525,-3.3,0.08,-66.14,9.275,6.50545807882668,0.545,12.84,-4.915
2,23.5,0.16,-9999,-9999,0.47,-2.48,0.08,-63.7,8.945,6.51033446576526,0.59,12.84,-4.88
3,0.5,0.025,-9999,-9999,0.385,-1.77,0.08,-66.59,6.95,3.92529433948174,0.58,17.38,-4.92
3,1.5,0.055,-9999,-9999,0.08,-2.33,0.08,-67.04,6.895,3.75144568101404,0.595,17.45,-4.915
