DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.581,0.12,1.4115,0.416,-25.36,0.349,-50.085,0.0895,1.47,1.9155,-9999,0
1,1.5,1.449,0.1,1.168,0.3235,-29.374,0.346,-45.55,-0.009,1.355,1.9485,-9999,0
1,2.5,1.306,0.035,1.235,0.255,-26.18,0.3475,-45.225,-0.02,1.35,1.855,-9999,0
1,3.5,1.276,0.02,1.186,0.3335,-22.985,0.3035,-42.99,-0.1295,1.32,1.8805,-9999,0
1,4.5,1.539,0.015,1.0805,0.2375,-23.3275,0.323,-45.565,-0.134,1.245,1.8805,-9999,0
1,5.5,1.4515,0.0305,1.2465,0.2195,-21.338,0.32,-39.37,-0.427,1.175,1.7925,-9999,0
1,6.5,1.471,0.14,1.329,0.299,-22.355,0.306,-42.105,-0.7385,1.09,1.73,-9999,0
1,7.5,1.6145,0.014,1.433,0.956,-13.081,0.337,-23.915,-0.5445,1.16,1.725,-9999,7.675
1,8.5,1.1895,-0.4755,0.603,4.157,11.701,0.444,23.54,0.328,1.52,1.9505,-9999,97.85
1,9.5,0.6935,-0.747,-0.2465,14.038,71.216,0.571,108.25,1.6355,2.09,2.4215,-9999,212.75
1,10.5,0.467,-0.586,-0.237,23.847,123.5985,0.645,178.1,2.515,2.67,2.655,-9999,300.75
1,11.5,-0.116,-0.4235,-0.669,30.898,165.182,0.693,219,3.5035,3.095,2.856,-9999,348.3
1,12.5,-0.0235,-0.2495,-0.323,33.312,157.8545,0.705,216.45,3.817,3.305,2.925,-9999,340.95
1,13.5,0.22,-0.186,-0.156,30.7505,126.7945,0.698,170.75,4.2315,3.495,2.8575,-9999,286.65
1,14.5,0.2205,-0.015,0.072,24.943,74.226,0.664,109.95,4.254,3.625,2.6815,-9999,226.15
1,15.5,0.691,0.209,0.996,13.166,11.3645,0.587,17.86,3.86,3.49,2.4145,-9999,103.3
1,16.5,1.266,0.47,1.584,4.0785,-17.3065,0.4615,-37.15,3.077,3.03,2.0655,-9999,9.065
1,17.5,1.4845,0.4725,1.8265,0.9165,-23.418,0.317,-61.045,2.242,2.605,1.713,-9999,0
1,18.5,1.5145,0.305,1.538,0.622,-24.759,0.2975,-57.395,1.72,2.29,1.7095,-9999,0
1,19.5,1.346,0.275,1.306,0.67,-26.502,0.3235,-54.23,1.288,2.03,1.707,-9999,0
1,20.5,1.195,0.264,1.305,0.318,-27.178,0.335,-49.125,0.9345,1.845,1.785,-9999,0
1,21.5,1.61,0.178,1.288,0.4975,-27.183,0.3075,-46.605,0.4105,1.675,1.7495,-9999,0
1,22.5,1.6405,0.156,1.206,0.414,-27.2045,0.3105,-45.77,-0.14,1.495,1.762,-9999,0
1,23.5,1.463,0.107,1.187,0.624,-27.561,0.307,-47.01,-0.5235,1.53,1.8225,-9999,0
2,0.5,1.4025,0.103,1.044,0.711,-22.372,0.285,-44.785,-1.8715,1.31,1.6515,-9999,0
2,1.5,1.233,0.135,1.052,0.6175,-24.026,0.27,-45.075,-2.276,1.285,1.6105,-9999,0
2,2.5,1.1865,0.093,1.101,0.579,-22.392,0.2915,-43.73,-2.2765,1.235,1.5815,-9999,0
2,3.5,1.268,0.0835,1.041,0.634,-22.887,0.284,-40.645,-2.658,1.185,1.569,-9999,0
2,4.5,1.223,0.063,1.014,0.735,-23.283,0.353,-37.605,-2.9325,1.16,1.6625,-9999,0
2,5.5,1.3455,0.121,1.271,0.517,-20.0845,0.3225,-36.04,-2.632,1.135,1.6815,-9999,0
2,6.5,1.506,0.077,1.3975,0.777,-20.449,0.361,-36.585,-2.8415,1.09,1.71,-9999,0
2,7.5,1.345,-0.037,1.159,1.3105,-12.232,0.364,-19.975,-2.635,1.155,1.701,-9999,11.6
2,8.5,1.182,-0.6005,0.427,6.096,23.443,0.461,28.735,-1.352,1.485,1.8835,-9999,101.15
2,9.5,1.212,-0.818,0.22,19.55,105.3175,0.619,127.85,-0.218,2.04,2.445,-9999,248.85
2,10.5,0.8725,-0.663,0.167,27.3335,168.892,0.6575,219.6,1.225,2.53,2.84,-9999,371.65
2,11.5,0.455,-0.311,0.183,32.859,203.812,0.705,253.95,1.9365,3.025,2.776,-9999,389
2,12.5,0.7385,-0.17,0.485,35.445,199.375,0.713,227.8,2.5185,3.285,2.8305,-9999,358.6
2,13.5,0.608,-0.1375,0.495,33.1595,165.92,0.7065,203.4,2.53,3.32,2.8735,-9999,332.15
2,14.5,0.584,-0.02,0.4775,26.0085,107.352,0.694,141.65,2.5755,3.46,2.6985,-9999,269.25
2,15.5,0.743,0.232,0.791,16.62,27.35,0.607,41.78,2.1255,3.54,2.4735,-9999,130.05
2,16.5,1.202,0.404,1.509,6.874,-15.332,0.485,-15.65,1.482,3.15,2.1285,-9999,24.485
2,17.5,1.315,0.478,1.516,1.35,-21.068,0.356,-58.485,0.5205,2.615,1.6905,-9999,0
2,18.5,1.322,0.386,1.501,0.596,-22.321,0.306,-58.565,-0.107,2.3,1.6215,-9999,0
2,19.5,1.222,0.302,1.175,0.689,-23.763,0.315,-52.27,-0.665,1.97,1.62,-9999,0
2,20.5,1.211,0.2445,1.152,0.519,-21.7555,0.303,-50.435,-1.0065,1.76,1.637,-9999,0
2,21.5,1.341,0.151,1.167,0.453,-22.259,0.274,-53.56,-1.2775,1.625,1.6205,-9999,0
2,22.5,1.352,0.234,1.2985,0.3905,-22.2465,0.3005,-51.31,-1.4885,1.5,1.6035,-9999,0
2,23.5,1.226,0.162,1.084,0.54,-22.961,0.293,-51.065,-1.78,1.41,1.6535,-9999,0
3,0.5,1.3875,0.063,1.1315,0.282,-19.2865,0.28,-46.275,-1.2535,1.34,1.755,-9999,0
3,1.5,1.28,0.132,1.152,0.129,-17.29,0.278,-44.205,-1.6135,1.3,1.711,-9999,0
3,2.5,1.142,0.1285,1.001,0.358,-20.401,0.271,-41.88,-1.82,1.255,1.749,-9999,0
3,3.5,1.153,0.158,0.971,0.166,-21.319,0.306,-40.63,-2.2395,1.195,1.752,-9999,0
3,4.5,1.2015,0.136,1.049,0.2255,-21.639,0.316,-46.365,-2.521,1.13,1.7545,-9999,0
3,5.5,1.3695,0.158,1.154,0.3955,-21.2865,0.306,-46.905,-2.2925,1.08,1.687,-9999,0
3,6.5,1.288,0.21,1.279,0.317,-19.035,0.3305,-41.745,-2.763,1.055,1.698,-9999,0
3,7.5,1.295,-0.199,1.0715,2.988,-4.399,0.373,-7.165,-2.2875,1.21,1.889,-9999,25.2
3,8.5,1.184,-0.933,0.44,12.709,38.82,0.549,50.385,-0.8485,1.72,2.2355,-9999,132.65
3,9.5,1.16,-0.689,0.173,23.543,116.0585,0.659,161.6,0.124,2.32,2.782,-9999,300.8
3,10.5,0.8665,-0.455,0.316,29.77,172.527,0.71,259.5,0.921,2.905,3.0375,-9999,413.55
3,11.5,0.736,-0.343,0.232,36.323,195.19,0.742,321.15,1.803,3.41,3.0875,-9999,469.55
3,12.5,0.85,-0.245,0.6305,37.4315,205.8695,0.703,324.6,2.444,3.65,3.1455,-9999,485.75
3,13.5,0.6405,-0.177,0.324,36.496,182.076,0.7175,283.45,2.9905,3.81,3.0345,-9999,422.5
3,14.5,0.707,-0.081,0.681,31.4985,107.71,0.6775,187.85,3.0815,3.945,2.9715,-9999,307.9
3,15.5,0.815,0.157,0.868,17.414,32.4345,0.623,80.45,2.965,3.85,2.864,-9999,183.95
