DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.852,0.032,0.729,0.789,-26.048,0.4655,-91.45,-0.685,2.855,2.944,21.6325,-2.856
1,1.5,0.711,0.004,0.607,1.156,-21.0145,0.4535,-90.65,-0.8635,2.975,2.7495,21.6275,-2.678
1,2.5,0.737,-0.009,0.677,1.7235,-26.4835,0.3585,-89.55,-0.891,2.805,2.644,21.5945,-2.66
1,3.5,0.736,0.001,0.674,1.9295,-24.1985,0.373,-91,-1.434,2.68,2.986,21.5945,-2.667
1,4.5,0.788,-0.008,0.597,1.7995,-28.0335,0.343,-87.5,-1.6675,2.82,2.7125,21.5945,-2.6435
1,5.5,0.7105,0.03,0.6385,0.8745,-28.8185,0.339,-86.4,-1.969,2.76,2.6835,21.573,-2.5475
1,6.5,0.808,0.0225,0.735,1.134,-30.774,0.386,-91.05,-2.331,2.625,2.7165,21.5735,-2.662
1,7.5,0.651,0.029,0.619,1.206,-30.7165,0.3545,-82.55,-2.1375,2.365,2.845,21.5575,2.1975
1,8.5,0.641,-0.0375,0.6,3.0615,-7.2345,0.3945,14.9,-0.9975,2.575,2.986,21.5465,108.1
1,9.5,0.726,-0.074,0.6685,12.176,33.0155,0.674,157.4,0.6065,3.34,3.7295,21.5355,299.95
1,10.5,0.38,-0.136,0.126,24.621,141.526,0.775,305.7,2.24,3.97,3.836,21.518,481.7
1,11.5,0.0505,-0.086,0.0195,28.109,191.156,0.783,386.1,3.832,4.955,3.812,21.509,596.4
1,12.5,0.0155,-0.0435,-0.055,31.064,220.951,0.753,416.7,4.887,5.67,3.632,21.5185,647.3
1,13.5,-0.005,-0.067,-0.17,31.725,219.325,0.764,402.95,5.747,5.75,3.682,21.5135,615.35
1,14.5,-0.1975,-0.016,-0.2425,26.4545,192.8415,0.7305,322.6,5.65,6.015,3.494,21.491,509.55
1,15.5,-0.045,0.0255,0.054,17.178,112.8855,0.682,173.35,5.2475,5.76,3.619,21.4895,332.05
1,16.5,0.3215,0.0595,0.4375,11.6975,30.076,0.6305,3.2915,4.159,5.095,3.7365,21.4885,126.75
1,17.5,0.492,0.13,0.6065,2.6255,-14.016,0.4485,-90.4,2.454,4.1,3.111,21.4875,1.997
1,18.5,0.7645,0.095,0.775,1.532,-24.3805,0.4245,-102.15,0.814,3.49,2.942,21.491,-3.456
1,19.5,0.854,0.025,0.729,2.0195,-28.496,0.401,-98.25,0.028,3.04,2.9385,21.491,-2.994
1,20.5,0.82,0.002,0.621,2.0385,-29.249,0.4055,-99.55,-0.293,3.02,2.9425,21.496,-2.8325
1,21.5,0.9295,0.036,0.763,1.937,-35.542,0.4545,-97.1,-0.857,3.08,2.903,21.496,-2.8705
1,22.5,0.7835,0.0335,0.786,1.3625,-37.5755,0.3855,-95.95,-0.89,3.01,3.038,21.521,-2.819
1,23.5,0.751,0.011,0.711,0.6585,-38.253,0.4435,-92.4,-1.082,3.06,2.97,21.5215,-2.7895
2,0.5,0.651,0.03,0.56,0.116,-16.825,0.2955,-87.65,-4.285,1.595,2.319,21.56,-3.072
2,1.5,0.657,0.0175,0.5685,0.196,-17.7065,0.3535,-89.15,-4.482,1.515,2.4175,21.5585,-3.1025
2,2.5,0.654,0.0255,0.5285,0.1975,-12.18,0.362,-88.05,-4.621,1.385,2.413,21.5585,-2.9485
2,3.5,0.6705,0.0125,0.59,0.2375,-11.3355,0.3415,-84.9,-4.731,1.275,2.497,21.559,-2.834
2,4.5,0.698,0.01,0.577,0.5015,-13.6905,0.3965,-87.35,-4.98,1.24,2.55,21.559,-2.911
2,5.5,0.649,0.008,0.561,0.386,-10.3875,0.42,-79.155,-4.9395,1.255,2.7275,21.5595,-2.5625
2,6.5,0.6725,-0.008,0.548,0.7135,-12.548,0.452,-79.22,-4.9005,1.335,2.775,21.5625,-2.4405
2,7.5,0.6725,0.044,0.665,0.19,-15.962,0.4895,-70.43,-4.9885,1.235,2.744,21.607,1.1175
2,8.5,0.73,0.003,0.65,2.3815,-2.3555,0.499,23.99,-3.7365,1.485,2.618,21.607,121.35
2,9.5,0.834,-0.0775,0.683,11.572,46.5645,0.615,174.55,-2.2575,1.96,2.8225,21.607,315.85
2,10.5,0.5875,-0.0905,0.4255,18.6595,125.9835,0.639,317.4,-1.4955,2.5,3.1965,21.622,494.1
2,11.5,0.55,-0.104,0.377,26.07,197.289,0.682,397.25,-0.05,2.92,3.091,21.592,628
2,12.5,0.466,-0.0765,0.375,34.311,221.294,0.735,437.65,0.567,3.24,3.378,21.631,692.95
2,13.5,0.504,-0.025,0.445,36.464,232.061,0.769,429.85,0.9615,3.645,3.4185,21.635,656.15
2,14.5,0.4105,-0.023,0.442,29.7005,186.152,0.7785,343,1.474,4.1,3.4525,21.652,538.2
2,15.5,0.4225,-0.004,0.398,19.8715,133.7415,0.721,212.5,1.947,3.875,3.4,21.652,381.45
2,16.5,0.4065,0.0455,0.467,12.604,55.5855,0.6695,39.67,1.283,3.46,3.298,21.652,172.1
2,17.5,0.4345,0.069,0.514,2.151,-3.6595,0.4585,-65.865,0.11,2.925,2.83,21.652,11.34
2,18.5,0.5505,0.124,0.666,1.02,-19.828,0.366,-102.55,-1.661,2.18,2.693,21.651,-3.821
2,19.5,0.595,0.0505,0.626,0.8055,-22.3475,0.385,-98.9,-2.229,1.745,2.3885,21.651,-3.6195
2,20.5,0.644,0.016,0.5945,0.45,-18.8295,0.3445,-95.9,-2.9485,1.425,2.607,21.651,-3.426
2,21.5,0.556,0.039,0.539,0.1055,-20.536,0.34,-93.6,-3.082,1.505,2.5925,21.651,-3.383
2,22.5,0.584,0.0015,0.518,0.111,-15.6235,0.368,-89.9,-3.32,1.49,2.6505,21.652,-3.266
2,23.5,0.5915,0.015,0.559,0.355,-13.2195,0.315,-89.35,-3.683,1.57,2.521,21.652,-3.1505
3,0.5,0.687,0.0065,0.6045,0.4075,-8.345,0.142,-88.7,-1.43,2.045,2.122,25.643,-3.2915
3,1.5,0.504,-0.009,0.428,0.314,-8.8685,0.1405,-86.7,-1.382,2.015,2.3005,25.6805,-3.161
3,2.5,0.628,0.002,0.5165,0.4375,-9.8085,0.1535,-85.9,-1.7255,1.78,2.149,25.7185,-3.245
3,3.5,0.6785,0.004,0.5185,0.527,-8.5425,0.1815,-87.05,-1.448,1.85,2.164,25.761,-3.0845
3,4.5,0.5485,0.003,0.529,0.363,-7.084,0.17,-83.55,-1.529,1.84,2.135,25.782,-3.082
3,5.5,0.458,-5e-04,0.4175,0.363,-7.477,0.147,-82.9,-1.389,1.98,2.148,25.819,-2.8535
3,6.5,0.553,0.003,0.4465,0.648,-11.6535,0.184,-79.95,-1.275,2.135,2.304,25.8515,-2.6525
3,7.5,0.5785,0.015,0.518,0.7395,-8.6585,0.195,-53.885,-1.381,1.94,2.2735,25.884,4.273
3,8.5,0.679,-0.0035,0.627,3.8245,-0.145,0.2575,60.72,-0.7315,2.43,2.2155,25.9215,173.3
3,9.5,0.762,-0.103,0.5385,17.971,48.783,0.4585,234.3,1.612,3.41,2.4375,25.948,388.4
3,10.5,-0.13,-0.107,-0.221,26.549,153.708,0.624,366.45,3.7865,4.545,2.643,26.0015,571.1
3,11.5,-0.5275,-0.086,-0.382,35.6315,233.19,0.651,462.95,5.0465,5.21,2.771,26.0175,701.55
3,12.5,-0.609,-0.084,-0.6085,40.943,254.539,0.6805,492.2,5.646,5.7,2.9985,26.0505,757.3
3,13.5,-0.6385,-0.05,-0.577,37.582,252.002,0.731,480.7,6.221,6.01,3.158,26.0885,730.75
3,14.5,-0.624,-0.0215,-0.5275,35.3505,216.565,0.722,410.35,6.527,6.175,3.2645,26.089,625.75
3,15.5,-0.409,-0.028,-0.557,25.977,168.6425,0.6705,276.65,6.496,6,2.9375,26.126,463.65
3,16.5,0.0035,0.0045,-0.132,15.751,70.736,0.597,101,6.0645,5.405,2.7235,26.147,240.45
3,17.5,0.344,0.056,0.32,5.272,-5.784,0.459,-36.47,4.553,4.675,2.505,26.1845,41.22
3,18.5,0.5685,0.168,0.686,0.6215,-13.629,0.3035,-105.35,1.86,3.45,2.2575,26.249,-4.4855
3,19.5,0.547,0.091,0.625,0.253,-14.823,0.247,-100.55,0.9825,2.61,2.175,26.334,-4.017
3,20.5,0.684,5e-04,0.6815,0.043,-15.306,0.234,-97.2,0.669,2.32,2.323,26.4245,-3.4495
3,21.5,0.56,-0.012,0.58,0.254,-11.15,0.206,-94,0.6025,2.2,2.1235,26.499,-3.403
3,22.5,0.617,-0.007,0.562,0.3405,-11.862,0.2195,-92.4,-0.0715,2.355,2.2845,26.584,-3.427
3,23.5,0.641,0.014,0.5535,0.22,-11.104,0.2185,-90.8,-0.6495,2.16,2.3055,26.653,-3.3665
4,0.5,0.8455,-0.0345,0.6235,0.313,-15.431,0.354,-96.95,-1.0775,2.505,2.7325,42.001,-3.3115
4,1.5,0.742,-0.02,0.546,0.3025,-16.784,0.364,-95.05,-0.9375,2.28,2.684,41.9505,-3.372
4,2.5,0.807,-0.038,0.652,0.8535,-16.4375,0.347,-91.95,-0.9965,2.225,2.5795,41.9085,-3.399
4,3.5,0.726,-0.009,0.56,0.867,-16.133,0.265,-88.4,-1.263,2.135,2.4485,41.851,-3.2285
4,4.5,0.751,-0.0185,0.7385,0.839,-15.195,0.311,-87.5,-1.592,2.01,2.557,41.7885,-3.316
4,5.5,0.641,0.001,0.5325,1.0925,-11.98,0.265,-87.1,-2.1245,1.635,2.4615,41.763,-3.1695
4,6.5,0.739,0.015,0.565,0.676,-10.6935,0.297,-88.8,-2.3565,1.445,2.5025,41.6815,-2.511
4,7.5,0.609,-0.022,0.487,1.0645,-11.115,0.324,-14.76,-1.778,1.56,2.523,41.592,30.055
4,8.5,0.5585,-0.069,0.495,9.774,10.551,0.448,97.45,-0.875,2.07,2.573,41.508,211.5
4,9.5,0.153,-0.049,0.084,27.012,88.9975,0.619,265.7,0.3525,2.97,3.02,41.497,426.85
4,10.5,-0.503,-0.107,-0.3795,39.062,172.0505,0.688,412.1,1.551,3.68,3.26,41.485,627.5
4,11.5,-0.8075,-0.036,-0.782,50.475,224.65,0.711,502.05,2.7345,4.38,3.4635,41.413,756.1
4,12.5,-0.833,-0.007,-0.657,42.6235,260.298,0.737,544.5,3.4825,4.895,3.6435,41.364,832
4,13.5,-1.154,-0.0265,-1.0895,51.5945,257.893,0.807,548.1,4.1465,5.305,3.805,41.3315,809.5
4,14.5,-1.116,-0.027,-1.249,48.83,236.804,0.782,469.9,4.517,5.26,3.717,41.3305,691.35
4,15.5,-0.8205,-0.02,-0.915,37.118,173.748,0.7305,329.3,4.951,5.27,3.52,41.5815,512.6
4,16.5,-0.364,-0.008,-0.4045,25.96,86.507,0.658,139.15,4.205,5.03,3.5035,41.658,297.6
4,17.5,0.234,0.041,0.171,14.45,9.361,0.576,-2.1305,3.2615,4.72,3.3185,41.7985,84.45
4,18.5,0.67,0.122,0.612,2.3605,-20.7945,0.434,-101.95,2.137,3.88,2.821,42.103,-1.1665
4,19.5,0.724,0.102,0.622,0.957,-18.5435,0.373,-101.3,1.535,3.305,2.7,42.1845,-3.8955
4,20.5,0.728,0.0245,0.5495,0.54,-17.284,0.313,-103.95,0.6595,2.94,2.6,42.1875,-3.6945
4,21.5,0.689,0.052,0.6385,0.9975,-12.27,0.321,-99.45,-0.4055,2.63,2.5715,42.1565,-3.668
4,22.5,0.651,0.025,0.5015,0.941,-12.614,0.2635,-98.2,-0.6225,2.45,2.6615,42.0885,-3.5615
4,23.5,0.6,-0.001,0.4765,0.897,-12.8355,0.259,-96.3,-0.5895,2.54,2.606,42.0745,-3.439
5,0.5,0.536,0.056,0.531,0.8235,-8.7675,0.115,-96.05,-0.1485,3.04,2.425,47.3725,-3.2155
5,1.5,0.5595,0.049,0.458,0.8025,-6.762,0.1245,-95.75,-0.1715,2.835,2.3865,47.3415,-3.059
5,2.5,0.5045,0.027,0.5115,1.005,-10.371,0.147,-94.95,-0.855,2.88,2.367,47.341,-3.0215
5,3.5,0.5395,0.001,0.447,0.6365,-11.351,0.1885,-94.85,-0.7485,2.845,2.4205,47.3105,-3.1315
5,4.5,0.579,0.013,0.555,1.172,-11.116,0.2095,-94.05,-1.2235,2.64,2.467,47.2805,-3.0775
5,5.5,0.64,0.018,0.5845,0.968,-10.7305,0.1505,-92,-1.291,2.48,2.4615,47.25,-2.9715
5,6.5,0.691,0.004,0.586,0.363,-10.085,0.2035,-86.7,-1.443,2.52,2.473,47.189,-0.4175
5,7.5,0.498,-0.0875,0.311,2.108,-5.722,0.25,6.357,-0.35,2.94,2.533,47.189,85.8
5,8.5,0.349,-0.2005,-0.0145,19.3405,34.6145,0.562,179.25,1.563,3.895,2.84,47.128,311.95
5,9.5,-1.337,-0.2115,-1.7015,37.651,147.363,0.732,364.45,3.3445,4.89,3.105,47.195,538.45
5,10.5,-2.1065,-0.076,-2.3795,53.5185,230.0375,0.7935,517.75,5.077,5.7,3.455,47.1315,747.85
5,11.5,-2.8365,-0.0735,-2.905,66.2475,287.182,0.861,604.3,6.1685,6.33,3.651,47.1005,859.5
5,12.5,-2.815,-0.035,-3.0145,69.309,328.301,0.854,642,6.963,6.89,3.568,47.0655,923.5
5,13.5,-2.783,-0.0425,-2.7725,79.736,307.859,0.854,624,7.42,7.47,3.679,47.122,895.5
5,14.5,-2.812,-0.0395,-2.867,69.6845,269.368,0.8195,527.45,7.7935,7.485,3.5915,47.143,766.7
5,15.5,-2.474,-0.0325,-2.5,62.228,220.3,0.818,396.75,7.8725,7.36,3.654,47.3655,594
5,16.5,-1.556,0.0025,-1.628,42.322,117.354,0.765,200.8,7.437,7.01,3.58,47.689,364.85
5,17.5,-0.368,0.0885,-0.1755,27.91,17.958,0.622,7.4765,6.717,6.71,3.107,48.0045,136.3
5,18.5,0.574,0.32,0.91,7.69,-27.028,0.41,-102.2,4.725,5.62,2.468,47.9445,0.584
5,19.5,0.897,0.242,1.108,2.337,-22.691,0.234,-109.25,2.905,4.515,2.414,47.9445,-4.3945
5,20.5,0.69,0.132,0.7965,1.1715,-22.009,0.222,-104.15,1.941,4.04,2.3375,47.8845,-3.954
5,21.5,0.6115,0.093,0.707,0.818,-15.7955,0.1985,-102.8,1.4745,3.88,2.4175,47.8245,-3.5385
5,22.5,0.617,0.037,0.611,1.268,-16.502,0.187,-100.8,0.97,3.63,2.373,47.794,-3.348
5,23.5,0.6435,0.0375,0.6515,0.7215,-10.909,0.179,-96.1,0.2575,3.42,2.405,47.734,-3.162
6,0.5,0.809,0.0445,0.7745,0.823,-11.448,0.1445,-99.05,1.624,3.73,2.362,43.567,-3.008
6,1.5,0.5765,0.021,0.56,0.812,-9.338,0.108,-97.4,1.2315,3.33,2.3215,43.347,-2.9015
6,2.5,0.619,0.0425,0.589,1.07,-7.46,0.1015,-97.5,1.015,3.255,2.367,43.15,-2.7355
6,3.5,0.482,0.023,0.4785,0.7415,-8.493,0.1175,-96.1,0.748,3.155,2.38,43.042,-2.841
6,4.5,0.4665,0.0105,0.615,0.899,-8.917,0.1245,-94.9,0.618,3.155,2.4375,42.8975,-2.7215
6,5.5,0.442,0.01,0.567,0.74,-9.0395,0.121,-94.45,0.064,2.93,2.4345,42.751,-2.7005
6,6.5,0.339,-0.034,0.423,1.041,-8.427,0.118,-75.815,-0.04,2.765,2.434,42.5745,4.825
6,7.5,0.29,-0.318,-0.1295,7.0395,-3.191,0.2715,42.14,1.4325,3.285,2.518,42.6475,157.45
6,8.5,-1.269,-0.211,-1.539,32.082,66.9545,0.5705,248.7,4.025,4.49,2.951,42.784,402.45
6,9.5,-3.033,-0.1785,-3.1685,53.8505,173.6645,0.709,421.55,5.3055,5.405,3.0285,43.0885,618.25
6,10.5,-3.957,-0.115,-4.273,76.157,249.861,0.676,566.9,6.137,6.22,3.172,43.113,806
6,11.5,-5.047,-0.0665,-5.033,94.5545,300.297,0.707,649.8,7.2035,7.055,3.0825,43.05,921
6,12.5,-5.3445,-0.025,-5.345,97.576,303.7375,0.758,664.4,8.114,7.555,3.204,43.0375,960.5
6,13.5,-5.408,-0.014,-5.522,91.404,285.903,0.767,649.1,8.705,7.865,3.5365,42.3525,928.5
6,14.5,-4.724,-0.0055,-4.7905,101.342,274.832,0.786,578.1,9.17,8.29,3.46,42.337,812.5
6,15.5,-4.414,-0.0145,-4.433,91.077,217.058,0.785,434.35,9.01,8.43,3.5095,42.574,633.4
6,16.5,-3.314,0.02,-3.25,66.219,127.647,0.773,237.4,8.615,8.24,3.599,42.6855,409.1
6,17.5,-1.632,0.0705,-1.4965,44.034,25.033,0.68,21.11,7.881,7.755,3.313,42.7725,163
6,18.5,0.342,0.266,0.781,13.8315,-17.432,0.426,-87.65,6.6475,6.75,2.623,42.7945,4.528
6,19.5,0.8205,0.36,1.282,2.9155,-14.4245,0.24,-106.85,4.977,5.525,2.4515,42.87,-4.033
6,20.5,0.696,0.141,0.981,2.297,-14.8085,0.19,-100.9,3.758,4.97,2.4625,42.875,-3.46
6,21.5,0.673,0.0595,0.6705,1.215,-11.5555,0.221,-103.55,3.504,4.35,2.55,42.864,-3.1525
6,22.5,0.859,-0.002,0.817,0.6605,-18.011,0.213,-104.55,2.861,4.21,2.5985,42.766,-3.0795
6,23.5,0.6355,0.04,0.676,0.859,-16.459,0.1835,-102.15,1.986,3.975,2.4315,42.548,-3.1205
7,0.5,1.05,-0.015,0.902,1.59,-12.5265,0.25,-101.8,2.105,4.2,2.5785,38.969,-3.1105
7,1.5,0.688,0.0215,0.8675,1.495,-11.308,0.116,-103.1,1.954,4.06,2.4715,38.993,-3.247
7,2.5,1.071,-0.016,0.879,1.388,-14.363,0.1585,-102.6,1.345,3.81,2.539,39.001,-2.9375
7,3.5,0.771,0.0235,0.682,0.8695,-12.5355,0.15,-100.35,1.1225,3.555,2.42,39.0165,-3.063
7,4.5,0.722,0.058,0.809,0.6325,-8.6835,0.1235,-99.35,0.734,3.32,2.41,39.027,-3.1405
7,5.5,0.838,0.027,0.54,0.8105,-9.299,0.142,-97.25,0.8315,2.975,2.3595,38.979,-2.4185
7,6.5,0.39,-0.152,0.1865,1.326,-7.9395,0.136,-65.8,1.1725,3.09,2.4615,38.9665,24.59
7,7.5,-0.384,-0.388,-1.1655,20.3935,5.876,0.395,112.1,3.255,4.28,2.615,38.9415,229.45
7,8.5,-3.531,-0.204,-3.847,62.743,124.705,0.6945,324.05,5.446,5.35,3.326,38.9215,481.2
7,9.5,-5.205,-0.1255,-5.266,89.1695,227.692,0.7735,513.75,6.743,6.325,3.67,38.824,708.65
7,10.5,-6.273,-0.084,-6.239,113.844,302.435,0.8565,655.2,7.742,7.08,3.938,38.6515,895
7,11.5,-6.696,-0.001,-6.6585,136.407,356.376,0.9,740.25,8.79,7.675,3.8975,38.2795,999.5
7,12.5,-6.537,0.001,-6.532,138.46,356.206,0.94,768.8,9.235,8.22,4.0535,37.996,1039
7,13.5,-6.3905,-0.022,-6.4205,138.8215,346.342,0.9105,725.65,10.035,8.545,4.029,38.133,985.5
7,14.5,-5.796,-0.022,-5.8135,127.449,316.6225,0.928,631.25,10.65,9.165,3.91,38.2905,869.5
7,15.5,-5.057,-0.024,-5.047,117.515,267.4965,0.9565,476.2,10.985,9.185,3.803,38.366,680.4
7,16.5,-3.9055,0.007,-3.918,89.288,161.077,0.9305,275.9,10.81,9.085,3.6665,38.385,451.8
7,17.5,-1.987,0.061,-1.96,62.3405,47.1705,0.8465,56.175,10.18,8.625,3.5655,38.473,213.1
7,18.5,0.6655,0.273,1.1255,30.491,-22.809,0.652,-66.34,8.775,7.48,3.3,38.56,24.665
7,19.5,1.388,0.387,1.82,7.845,-30.26,0.356,-115.05,6.9865,6.52,2.8425,38.639,-4.213
7,20.5,1.399,0.228,1.512,3.3845,-26.759,0.3315,-111,5.6825,5.635,2.735,38.674,-3.607
7,21.5,1.298,0.085,1.257,2.043,-20.033,0.272,-107.65,4.5515,5.185,2.5965,38.7415,-3.491
7,22.5,0.8905,0.0875,1.0835,1.9125,-15.5795,0.2145,-105.45,3.253,4.85,2.644,38.7705,-3.372
7,23.5,1.064,0.0605,1.0255,1.259,-13.818,0.204,-104.6,2.632,4.48,2.547,38.7795,-3.192
8,0.5,0.968,-0.0045,0.999,1.19,-18.175,0.16,-108.3,4.978,5.33,2.48,34.2165,-3.353
8,1.5,0.892,-0.02,0.859,1.111,-18.2815,0.1525,-107.1,4.46,4.9,2.38,34.237,-3.6105
8,2.5,0.607,-0.0365,0.7315,0.7985,-13.358,0.119,-105.55,3.4425,4.82,2.2815,34.248,-3.585
8,3.5,0.593,0.017,1.0005,1.1505,-9.8645,0.101,-104.2,2.496,4.195,2.3785,34.279,-3.247
8,4.5,0.6685,0.001,0.64,1.227,-11.799,0.102,-101.5,2.46,3.99,2.3775,34.302,-3.161
8,5.5,0.714,-0.02,0.62,1.037,-11.0205,0.104,-97.2,2.4335,3.805,2.373,34.3345,-0.696
8,6.5,0.2345,-0.356,-0.373,3.376,-9.388,0.1635,-28.375,3.5275,4.165,2.5065,34.3505,78.41
8,7.5,-1.66,-0.4885,-2.2955,33.1695,26.137,0.44,171.3,7.0185,5.75,2.7725,34.347,300.15
8,8.5,-4.845,-0.181,-5.1415,75.5505,151.4495,0.661,365.45,8.72,7.295,3.1865,34.287,540.35
8,9.5,-6.052,-0.1315,-6.3375,106.882,261.789,0.7225,552.85,10.18,8.605,3.2125,34.157,763.75
8,10.5,-6.9455,-0.047,-6.962,122.383,325.7255,0.7235,682.1,11.005,9.295,3.17,33.841,929
8,11.5,-7.369,0.012,-7.358,142.521,389.777,0.736,757.9,11.705,10.125,3.322,33.4585,1033.5
8,12.5,-7.3465,0.0055,-7.305,145.97,388.921,0.8395,784.55,12.48,10.655,3.4675,33.1935,1068
8,13.5,-6.958,0.0195,-6.9285,139.6465,375.0965,0.861,741.05,13.255,11.45,3.6125,33.359,1014.5
