DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.34,0.006,0.284,1.2915,-35.0405,0.154,-72.09,-2.9285,2.31,2.805,23.633,-1.425
1,1.5,0.289,0.0145,0.226,1.0775,-30.478,0.1505,-70.205,-3.1645,2.08,2.681,23.633,-1.351
1,2.5,0.255,0.007,0.236,0.518,-30.988,0.1515,-69.905,-3.1785,2.08,2.692,23.633,-1.2915
1,3.5,0.309,0.008,0.244,0.726,-35.67,0.153,-70.42,-3.1865,1.865,2.668,23.633,-1.5
1,4.5,0.325,0.0055,0.2085,0.8015,-31.059,0.138,-69.135,-4.0615,1.88,2.7465,23.716,-1.33
1,5.5,0.28,0.0025,0.275,0.6455,-37.644,0.151,-67.515,-4.402,1.83,2.7475,23.716,-1.1735
1,6.5,0.242,0.003,0.2,0.56,-30.8075,0.1265,-66.09,-4.2205,1.745,2.6415,23.716,-1.203
1,7.5,0.224,-0.0025,0.183,0.346,-26.7065,0.1375,-65.73,-2.869,1.89,2.632,23.625,2.175
1,8.5,0.2275,-0.002,0.168,1.6685,-19.15,0.136,-20.045,-2.312,2.255,2.42,23.625,107.85
1,9.5,0.127,-0.03,0.1,4.046,-7.695,0.157,23.715,0.2625,3.145,2.238,23.625,293.65
1,10.5,0.1295,-0.033,0.057,8.629,-3.23,0.2,65.4755,3.2575,4.24,3.022,23.625,466.35
1,11.5,0.124,-0.022,0.047,11.6485,-1.195,0.2305,90.25,4.0325,4.62,3.505,23.625,573.2
1,12.5,0.084,-0.021,0.0425,13.4495,-1.264,0.234,101.45,4.7105,4.585,3.63,23.6255,618.95
1,13.5,0.0475,-0.016,0.052,13.072,-3.262,0.239,96.2,4.6455,4.66,3.5975,23.6255,590.45
1,14.5,0.093,-0.006,0.076,10.8345,-4.6755,0.2455,68.005,4.1825,4.535,3.491,23.625,485.45
1,15.5,0.058,-0.002,0.074,6.915,-7.482,0.2125,22.65,4.4575,4.38,3.3175,23.626,315.6
1,16.5,0.1335,0.004,0.136,2.342,-11.862,0.164,-31.32,3.51,4.185,2.6585,23.626,110.05
1,17.5,0.215,0.019,0.1745,0.107,-14.3795,0.0945,-80.7,1.211,3.43,1.859,23.626,3.7705
1,18.5,0.28,0.0335,0.241,-0.1645,-18.6755,0.108,-75.2,-0.976,2.82,2.25,23.6265,-1.6975
