DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.1050245,-0.00207,0.1029545,0.6533945,-8.46351,0.13745975,-59.683,3.55,4.392854443,2.65008,9,-0.0015273295
1,1.5,0.08635,-0.003485,0.082865,0.518326,-7.438475,0.137566,-59.188,3.2505,4.3686105525,2.52918,8.9,-0.0014964175
1,2.5,0.139907,-0.002815,0.137092,0.418076,-6.27511,0.127895,-58.7545,2.679,4.1788676315,2.59266,8.8,-0.0015223765
1,3.5,0.1524985575,0.000404,0.1529025575,0.305587427,-5.44219,0.134374,-57.474,2.413,4.1228944375,2.33179,8.75,-0.001578307
1,4.5,0.101875,-0.00343,0.098445,0.258308716,-5.52459,0.1330375,-57.2095,2.066,3.7745193335,2.04455,8.7,-0.0016374335
1,5.5,0.0845,-0.000708,0.083792,0.04585,-4.102685,0.10861965,-57.0745,1.3215,3.467586984,2.054145,8.55,-0.001699358
1,6.5,0.0487,-0.0015,0.0472,0.174273,-4.758405,0.111692,-56.68,1.957,3.31558369,2.13773,8.4,0.0010585125
1,7.5,0.0241,-0.00187,0.02223,0.133065,-4.86874,0.121948,-10.2762179,1.757,3.164831722,1.910259558,8.3,8.5884595
1,8.5,-0.251667,0.0207,-0.230967,6.699945,15.73224417,0.18071,99.105,3.472,3.590890563,1.58155,8.3,170.92
1,9.5,-0.506792,0.0403,-0.466492,15.4106,65.8564,0.218445,234.3,5.4235,4.9074130735,1.831045,8.4,321.22505
1,10.5,-0.783704,0.0278,-0.755904,21.2773,115.396,0.2536545,347.3809,6.604,5.564044479,1.91322,8.8,445.315
1,11.5,-0.922453,0.0213,-0.901153,25.41205,152.357,0.30091,388.5,7.7955,6.738237474,2.155095,9.3,514.745
1,12.5,-1.069115,0.00961,-1.059505,25.9978,167.3238239,0.3223655,390.85,9.25,7.8078107925,2.24923,9.6,463.58355
1,13.5,-1.007005,-0.0066,-1.013605,21.8206,166.7095,0.328159,353.4,10.035,8.871051092,2.39452,9.8,432.36635
1,14.5,-0.893816,-0.00756,-0.901376,17.86645,143.843,0.3528295,267.2,10.45,9.390035408,2.769335,9.9,326.9273
1,15.5,-0.6114965,-0.0151,-0.6265965,13.57965,84.59305,0.336008,144.06,10.735,9.814051672,2.89234,9.9,218.77235
1,16.5,-0.182934,-0.0176,-0.200534,6.57245,17.1351,0.2724285,8.24,10.29,9.5256282605,2.690615,9.8,69.03967
1,17.5,0.0585,-0.0184,0.0401,0.363318,-2.89474,0.1658052,-69.094403,7.955,8.408501953,2.5075166745,9.6,0.47513025
1,18.5,0.2001465,-0.01805,0.1820965,0.757775,-10.80190719,0.1528525,-70.4935,6.058,6.28,3.01908,9.5,-0.001515835
1,19.5,0.162397,-0.0121,0.150297,0.621648,-9.1934,0.1363415,-66.802,5.231,5.786272872,3.305895,9.4,-0.0016296335
1,20.5,0.153855,-0.011,0.142855,0.5772795,-8.577515,0.1355645,-64.0745,4.9525,5.3702803575,3.127745,9.3,-0.00153202
1,21.5,0.125695,-0.00384,0.121855,0.6471808495,-8.98273,0.136224,-61.206,4.7185,5.1636404015,3.06251,9.2,-0.00156365
1,22.5,0.169089,-0.00313,0.165959,0.468106,-11.39875,0.1197135,-60.5325,4.389,5.051842657,3.167245,9.1,-0.0015055905
1,23.5,0.0997195,-0.0068,0.0929195,0.3308235,-7.6806,0.133517,-60.1315,3.9095,4.774088187,2.92205,9,-0.001493945
2,0.5,0.1585665,-0.001965,0.1566015,0.203319,-8.708455,0.138575,-61.177,6.371,5.944,2.954585,8.15,-0.0016950355
2,1.5,0.123442,-0.004015,0.119427,0.330237,-8.271635,0.1338715,-60.05,5.5235,5.777106015,2.82734,8.1,-0.0015843325
