DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.486,-0.001,0.5545,-0.4325,-11.6425,0.1645,-31.157,-5.8835,1.325,2.6705,13.742,-1.44
1,1.5,0.3995,0.001,0.4825,-0.34,-12.1,0.164,-33.037,-6.4005,1.09,2.8155,13.7845,-1.44
1,2.5,0.407,0.01,0.445,-0.589,-9.627,0.156,-31.485,-6.8815,0.64,2.467,13.7295,-1.44
1,3.5,0.4775,0.0075,0.533,-0.4135,-9.5795,0.153,-31.565,-7.322,1.395,2.4665,13.475,-1.44
1,4.5,0.535,0.0155,0.5125,-1.016,-9.295,0.15,-36.083,-7.625,1.96,2.4115,12.925,-1.44
1,5.5,0.4735,0.0115,0.4745,-0.357,-10.378,0.153,-28.8735,-7.797,0.48,2.434,12.6105,-1.44
1,6.5,0.5065,0.037,0.5585,-0.345,-9.377,0.164,-21.9355,-7.2635,0.92,2.3335,12.5015,-0.7975
1,7.5,0.6575,0.039,0.565,0.59,-8.261,0.1525,-23.4705,-7.2585,2.16,2.418,12.475,-0.33
1,8.5,0.735,0.0205,0.595,0.434,-10.279,0.1505,-22.3815,-7.241,3.12,2.4585,12.475,4.7845
1,9.5,0.365,-0.03,0.503,1.582,-7.134,0.165,-7.2075,-6.78,1.77,2.575,12.475,70.2495
1,10.5,0.423,-0.041,0.417,3.3075,-1.421,0.195,11.306,-6.088,0.3,2.827,12.4,179.37
1,11.5,0.3575,-0.032,0.488,6.26,0.251,0.188,19.151,-5.3195,0.3,2.832,12.475,245.155
1,12.5,0.335,-0.022,0.3795,8.847,1.643,0.1925,14.8695,-4.9185,0.395,3.01,12.5,276.53
1,13.5,0.538,-0.019,0.4465,10.052,1.333,0.186,12.582,-4.3955,0.38,2.7665,12.55,287.71
1,14.5,0.1935,-0.003,0.4155,8.455,-3.188,0.19,0.7355,-3.6185,0.63,2.7975,13.0605,253.1555
1,15.5,0.537,0.001,0.553,6.209,-7.0295,0.196,-22.9015,-2.839,0.59,2.871,13.1325,155.985
1,16.5,0.9145,0.0255,0.691,4.123,-12.213,0.1785,-45.587,-2.549,0.56,2.874,12.7,57.462
1,17.5,0.897,0.049,0.687,1.889,-13.845,0.167,-43.102,-2.7505,0.45,2.462,12.7,2.6025
1,18.5,0.837,0.02,0.5745,1.88,-12.659,0.151,-45.486,-3.702,0.36,2.36,12.75,-1.2505
1,19.5,0.851,0.012,0.644,0.514,-13.477,0.1555,-48.24,-4.553,0.28,2.3265,12.825,-1.44
