DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.53,-9999,0.79,-0.7,-38.7,0.5415,-5.073,-5.25,0.2,2.71,-9999,0
1,1.5,0.7,-9999,0.8,-0.5,-34.2,0.5895,-3.8065,-5.5,0.2,2.86,-9999,0
1,2.5,0.5,-9999,0.72,-0.5,-29.95,0.51,-3.8455,-5.3,0.2,2.5,-9999,0
1,3.5,0.575,-9999,0.7,-0.25,-35.5,0.6,-2.782,-5.5,0.25,2.65,-9999,0
1,4.5,0.5,-9999,0.705,-0.5,-30.15,0.59,-2.07,-5.6,0.25,2.47,-9999,0
1,5.5,0.5,-9999,0.715,-0.3,-23.4,0.51,-2.8575,-5.65,0.3,2.195,-9999,0
1,6.5,0.4,-9999,0.7,-0.6,-24.4,0.62,-2.4015,-5.6,0.3,2.36,-9999,0
1,7.5,0.54,-9999,0.7,-0.5,-21.9,0.6,0.505,-5.85,0.3,2.69,-9999,4.95
1,8.5,0.6,-9999,0.7,0.35,-1.8,0.64,16.06,-5.6,0.3,2.47,-9999,53.775
1,9.5,0.5,-9999,0.7,3.2,22.95,0.6075,24.965,-5.25,0.3,2.37,-9999,116.55
1,10.5,0.6,-9999,0.7,5.7,68.6,0.69,33.12,-4.5,0.3,2.95,-9999,179.325
1,11.5,0.6,-9999,0.66,8.45,80.6,0.734,43.06,-4.25,0.3,3.05,-9999,161.55
1,12.5,0.6,-9999,0.6,12.9,75.65,0.68,46.08,-4.2,0.4,3.04,-9999,147.15
1,13.5,0.52,-9999,0.6,10.3,76.7,0.707,38.79,-3.95,0.35,2.68,-9999,111.6
1,14.5,0.7,-9999,0.63,6.6,38.6,0.7,28.435,-4.25,0.4,2.99,-9999,76.725
1,15.5,0.7,-9999,0.63,3.75,16.05,0.608,8.39,-4.35,0.8,2.645,-9999,36.9
1,16.5,0.6,-9999,0.7,0.7,-8.4,0.5645,-5.6245,-4.65,0.8,2.6,-9999,2.25
1,17.5,0.5,-9999,0.72,-0.7,-34,0.54,-5.891,-5.2,0.55,2.5,-9999,0
1,18.5,0.485,-9999,0.7,-0.4,-32.1,0.482,-5.3715,-5.45,0.55,2.45,-9999,0
1,19.5,0.56,-9999,0.7,-0.4,-31.4,0.5,-8.812,-5.7,0.55,2.43,-9999,0
1,20.5,0.58,-9999,0.7,-0.4,-25.9,0.553,-8.091,-6,0.35,2.5,-9999,0
1,21.5,0.7,-9999,0.79,0,-22.2,0.59,-8.995,-6.2,0.35,2.475,-9999,0
1,22.5,0.7,-9999,0.78,-0.6,-26.3,0.5075,-8.77,-6.15,0.4,2.485,-9999,0
1,23.5,0.8,-9999,0.8,-0.2,-25.1,0.6,-8.633,-6.35,0.3,2.81,-9999,0
2,0.5,0.5,-9999,0.6,-0.7,-42,0.6365,-36.67,-13.55,0.5,3.135,-9999,0
2,1.5,0.5,-9999,0.575,-0.5,-43,0.681,-32.5395,-13.7,0.5,3.66,-9999,0
2,2.5,0.4,-9999,0.5,-0.5,-42,0.67,-35.795,-13.45,0.4,3.19,-9999,0
2,3.5,0.5,-9999,0.56,-0.9,-42,0.6105,-35.1,-13.5,0.4,3.26,-9999,0
2,4.5,0.3,-9999,0.495,-0.75,-41.25,0.6,-39.48,-13.75,0.4,3.1,-9999,0
