DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.83072,0.0944523846519501,0.92517238465195,-0.5415,-13.2951,0.537817,-22.584,-0.194,1.005,3.37,-9999,-0.2415
1,1.5,0.878,0.0895114839513703,0.96751148395137,-0.881,-15.30935,0.524638,-19.97,-0.37432775,0.945,3.373,-9999,-0.2385
1,2.5,0.892,0.0620939329968351,0.954093932996835,-0.532,-15.538,0.472,-22.752,-0.429,0.89,3.32049925,-9999,-0.2415
1,3.5,0.773,0.0986314897881481,0.871631489788148,-0.89,-14.666,0.464092,-21.3,-0.6566665,0.85,3.238,-9999,-0.2521065
1,4.5,0.597,0.0899196308957322,0.686919630895732,-0.637,-12.292,0.463,-21.439,-0.9075,0.765,3.18,-9999,-0.249858
1,5.5,0.938086,0.124424335281403,1.0625103352814,-0.705,-13.455,0.452509,-22.88,-1.04372775,0.68,3.28,-9999,-0.279
1,6.5,0.829058,0.123385700728739,0.952443700728739,-0.672331,-13.217,0.44,-17.8255,-1.19828,0.695,3.322,-9999,-0.2415
1,7.5,0.753868,0.169624182202245,0.923492182202245,-0.88,-13.422,0.4435,-18.0165,-1.31992,0.64,3.18,-9999,-0.158
1,8.5,0.803,0.14629430244074,0.94929430244074,-0.489,-10.7892,0.4747425,-5.212,-1.5675,0.59,3.14738625,-9999,13.97255
1,9.5,1.012,0.0451073850184934,1.05710738501849,1.857,9.482,0.534561,47.84,-1.392,0.63,3.0972935,-9999,82.057
1,10.5,1.252665,-0.199994763808334,1.05267023619167,8.238,45.1201,0.622621,136.16,-0.6405865,0.87,3.0314575,-9999,181.856
1,11.5,1.31,-0.304041538816395,1.0059584611836,13.668,86.964,0.662495,204.79,0.147694175,1.225,3.0758585,-9999,272.173
1,12.5,1.372,-0.326606700302423,1.04539329969758,15.89835,105.5165,0.696336,233.39,0.915,1.555,3.2229455,-9999,301.57
1,13.5,1.20645,-0.298833254834342,0.907616745165658,18.677,122.404,0.7065,210.291,1.2969975,1.765,3.337,-9999,269.6755
1,14.5,1.1575,-0.18614033710142,0.97135966289858,15.4675,94.2644,0.725,141.995,1.49,1.8,3.22555875,-9999,212.859
1,15.5,1.017,-0.152061464633321,0.864938535366679,11.721,62.404,0.708869,89.1275,1.569,1.78,3.2694275,-9999,143.271
1,16.5,0.764894,-0.0693105329264606,0.695583467073539,5.34087,26.792,0.6502675,18.136,1.6,1.73,3.2295,-9999,67.3702
1,17.5,0.704104,0.0646879064268568,0.768791906426857,0.617,-2.038,0.571771,-16.312,1.22243,1.57,3.075849,-9999,10.38
1,18.5,0.7455,0.13212181035769,0.87762181035769,-0.4846365,-11.025,0.5205,-27.3,0.828333,1.38,3.105529,-9999,-0.288851
1,19.5,0.739467,0.195795307249036,0.935262307249036,-0.2965,-11.552,0.503,-23.461,0.53472925,1.2,3.144,-9999,-0.324
1,20.5,0.9111325,0.132770625322108,1.04390312532211,-0.391227,-13.89155,0.523727,-21.882,0.342,1.14,3.21,-9999,-0.29
1,21.5,0.9035,0.0733818720238764,0.976881872023876,-0.509256,-15.089,0.505654,-23.192,0.146875825,1.08,3.36303625,-9999,-0.273691
1,22.5,0.732567,0.0664736697393799,0.79904066973938,-0.5475,-14.1934,0.523,-25.144,-0.11,1.065,3.2911345,-9999,-0.307983
