DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.05504,0,1.05504,1.116471,5.68762,0.350193,-9999,-9999,-9999,1.94185,-9999,-0.03465
1,1.5,0.804003,0,0.804003,2.0788,8.03113,0.315385,-9999,-9999,-9999,1.76462,-9999,-0.0351
1,2.5,0.918364,0,0.918364,2.506485,9.288485,0.3518385,-9999,-9999,-9999,1.69044,-9999,-0.03105
1,3.5,1.41378,0,1.41378,1.393045,7.63843,0.314486,-9999,-9999,-9999,1.664755,-9999,-0.03375
1,4.5,2.64181,0,2.64181,1.71885,6.63772,0.3183405,-9999,-9999,-9999,1.46958,-9999,-0.028125
1,5.5,0.697824,0,0.697824,2.623425,6.970505,0.324516,-9999,-9999,-9999,1.542835,-9999,-0.00675
1,6.5,2.41566,0,2.41566,2.63924,7.93611,0.336063,-9999,-9999,-9999,1.6304,-9999,-0.019125
1,7.5,2.955155,0,2.955155,2.20179,6.93739,0.39421,-9999,-9999,-9999,1.68976,-9999,0.0198
1,8.5,2.55657,0,2.55657,1.939,10.7269,0.37004,-9999,-9999,-9999,1.82975,-9999,6.36975
1,9.5,3.55636,0,3.55636,3.05592,17.2703,0.395347,-9999,-9999,-9999,1.94568,-9999,51.075
1,10.5,3.266305,0,3.266305,8.037815,28.5805,0.46594,-9999,-9999,-9999,2.35767,-9999,85.05
1,11.5,2.31043,0,2.31043,7.91459,36.0367,0.495057,-9999,-9999,-9999,2.39593,-9999,120.2625
1,12.5,2.172535,0,2.172535,10.0352,39.694,0.570262,-9999,-9999,-9999,2.29923,-9999,176.6025
1,13.5,1.747875,0,1.747875,9.77371,33.0863,0.562822,-9999,-9999,-9999,2.41274,-9999,149.31
1,14.5,1.573255,0,1.573255,12.1509,42.6135,0.518307,-9999,-9999,-9999,2.339565,-9999,126.405
1,15.5,4.33403,0,4.33403,8.27083,27.96225,0.4942815,-9999,-9999,-9999,2.49059,-9999,90.18
1,16.5,3.89128,0,3.89128,4.77075,10.85935,0.4750565,-9999,-9999,-9999,2.60171,-9999,29.2365
1,17.5,3.17449,0,3.17449,4.545125,4.31513,0.3485615,-9999,-9999,-9999,2.078145,-9999,1.1052
1,18.5,2.70104,0,2.70104,3.49783,6.41876,0.3687815,-9999,-9999,-9999,2.217075,-9999,-0.060525
1,19.5,1.5,0,1.5,2.872815,4.85307,0.3762355,-9999,-9999,-9999,2.253805,-9999,-0.05625
1,20.5,1.83325,0,1.83325,3.73791,4.24838,0.3387225,-9999,-9999,-9999,2.166495,-9999,-0.05085
1,21.5,2.03425,0,2.03425,2.1082,6.34002,0.3764985,-9999,-9999,-9999,2.003195,-9999,-0.040725
1,22.5,1.979395,0,1.979395,3.78576,7.50375,0.406816,-9999,-9999,-9999,2.2228,-9999,-0.039375
1,23.5,2.05054,0,2.05054,3.363295,10.4538,0.362815,-9999,-9999,-9999,1.8641,-9999,-0.0351
2,0.5,1.945155,0,1.945155,7.04235,7.086565,0.382679,-9999,-9999,-9999,1.919685,-9999,-0.06795
2,1.5,1.27024,0,1.27024,5.28283,4.03843,0.3725475,-9999,-9999,-9999,1.964945,-9999,-0.06795
2,2.5,2.991885,0,2.991885,6.53372,5.9496,0.3768105,-9999,-9999,-9999,1.979535,-9999,-0.06615
2,3.5,1.078813,0,1.078813,3.796185,4.94477,0.337838,-9999,-9999,-9999,1.60642,-9999,-0.067725
2,4.5,1.59058,0,1.59058,3.211505,3.83918,0.359013,-9999,-9999,-9999,1.57112,-9999,-0.06525
2,5.5,2.1212,0,2.1212,2.95467,2.39398,0.3614085,-9999,-9999,-9999,1.665695,-9999,-0.06435
2,6.5,1.59512,0,1.59512,3.90914,5.58871,0.374738,-9999,-9999,-9999,1.79238,-9999,-0.05715
2,7.5,5.12627,0,5.12627,3.93452,7.599205,0.346241,-9999,-9999,-9999,1.714645,-9999,0.13905
2,8.5,4.26887,0,4.26887,5.48726,11.4757,0.381429,-9999,-9999,-9999,1.85607,-9999,10.107
2,9.5,2.114035,0,2.114035,7.52968,41.972,0.510501,-9999,-9999,-9999,2.09202,-9999,79.8525
2,10.5,2.41398,0,2.41398,12.032,47.4143,0.5705985,-9999,-9999,-9999,2.39106,-9999,211.365
2,11.5,1.68607,0,1.68607,15.1968,61.5517,0.605778,-9999,-9999,-9999,2.83041,-9999,269.0325
2,12.5,4.77546,0,4.77546,17.3447,51.7938,0.578517,-9999,-9999,-9999,2.79335,-9999,283.41
2,13.5,3.28126,0,3.28126,15.82235,42.7211,0.6081745,-9999,-9999,-9999,2.79483,-9999,270.2025
2,14.5,3.087615,0,3.087615,15.01695,43.3118,0.6275575,-9999,-9999,-9999,2.864225,-9999,231.345
2,15.5,1.63309,0,1.63309,10.5583,19.7962,0.622687,-9999,-9999,-9999,2.77009,-9999,179.955
2,16.5,2.45131,0,2.45131,11.177,9.60706,0.521177,-9999,-9999,-9999,2.61357,-9999,69.975
2,17.5,2.269725,0,2.269725,6.76004,3.924295,0.5080695,-9999,-9999,-9999,2.49925,-9999,6.291
2,18.5,2.332925,0,2.332925,5.27405,1.3224985,0.4816115,-9999,-9999,-9999,2.1529,-9999,-0.0468
2,19.5,1.94984,0,1.94984,5.24021,4.3248,0.4184885,-9999,-9999,-9999,2.21623,-9999,-0.07425
2,20.5,1.58275,0,1.58275,4.82778,3.495265,0.42739,-9999,-9999,-9999,2.23743,-9999,-0.07065
2,21.5,1.18922,0,1.18922,4.523555,2.95752,0.44293,-9999,-9999,-9999,2.158305,-9999,-0.06795
2,22.5,1.689095,0,1.689095,5.831755,4.72617,0.4708175,-9999,-9999,-9999,2.26822,-9999,-0.06795
2,23.5,0.7329925,0,0.7329925,3.31365,5.28423,0.409932,-9999,-9999,-9999,2.10853,-9999,-0.067725
3,0.5,2.282715,0,2.282715,2.34583,7.3889,0.313314,-9999,-9999,-9999,1.70287,-9999,-0.058275
3,1.5,2.8484,0,2.8484,1.78913,8.029705,0.348892,-9999,-9999,-9999,1.88776,-9999,-0.046575
3,2.5,1.99519,0,1.99519,1.65852,7.77171,0.325982,-9999,-9999,-9999,1.782555,-9999,-0.040275
3,3.5,2.15093,0,2.15093,1.020734,10.087665,0.304792,-9999,-9999,-9999,1.792265,-9999,-0.02925
3,4.5,2.85369,0,2.85369,1.84758,7.32867,0.330869,-9999,-9999,-9999,1.93433,-9999,-0.0243
3,5.5,2.583225,0,2.583225,2.11285,8.93252,0.3134085,-9999,-9999,-9999,1.83597,-9999,-0.021375
3,6.5,2.00267,0,2.00267,2.208455,9.090755,0.335838,-9999,-9999,-9999,1.8422,-9999,-0.02295
3,7.5,2.276775,0,2.276775,2.76413,7.80323,0.356777,-9999,-9999,-9999,2.09955,-9999,0.555525
