DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.43,0,0.4,1.45,-6.6,0.174,-39.75,-4.86,0.579662653080762,2.845,-9999,0
1,1.5,0.42,0,0.4,1.45,-8.8,0.189,-36.1,-5.27,0.567626764024088,3.16,-9999,0
1,2.5,0.44,0,0.4,1.2,-7.4,0.181,-33.55,-5.65,0.533573559297929,3.09,-9999,0
1,3.5,0.32,0,0.305,0.7,-8.35,0.1755,-32.9,-6.01,0.52130230535311,2.86,-9999,0
1,4.5,0.41,0,0.4,1.1,-7.8,0.1815,-32.55,-6.315,0.501364716620347,2.86,-9999,0
1,5.5,0.435,0,0.4,1.5,-6.4,0.189,-30.25,-6.53,0.473015709362869,3.085,-9999,0
1,6.5,0.39,0,0.4,1.2,-5.6,0.195,-33.5,-6.655,0.444083357628522,2.96,-9999,0
1,7.5,0.45,0,0.4,1.1,-6.15,0.191,-32,-6.705,0.418170064155078,2.93,-9999,0.9
1,8.5,0.46,0,0.4,4.75,-1.7,0.197,-2.4,-6.4,0.494766738471565,3.105,-9999,50.2
1,9.5,0.61,-0.1,0.5,13.65,11.2,0.243,48.85,-5.32,0.653826993869354,3.945,-9999,175.85
1,10.5,0.645,-0.1,0.5,21.6,31.2,0.2755,102.55,-3.855,0.908943432801534,4.805,-9999,322.85
1,11.5,0.68,-0.1,0.6,25.1,34,0.294,151.6,-2.105,1.14626402480782,4.955,-9999,410.1
1,12.5,0.81,-0.1,0.7,27.7,44.2,0.295,179.9,-1.07,1.48739782070416,4.84,-9999,442.95
1,13.5,0.76,-0.1,0.6,26.8,35.4,0.293,162.5,-0.35,1.60873549780304,4.955,-9999,418.9
1,14.5,0.725,0,0.69,22.4,26.4,0.2805,114.7,-0.015,1.67341268268181,4.865,-9999,333.5
1,15.5,0.695,0,0.7,16.25,6.5,0.2815,46.1,-0.075,1.69866144780752,4.67,-9999,204.8
1,16.5,0.5,0.1,0.5,7.9,-5,0.223,-12.05,-0.255,1.57997522671689,3.835,-9999,66.5
1,17.5,0.45,0.1,0.5,1.6,-8.5,0.161,-53.1,-1.13,1.25260557649449,2.98,-9999,1.2
1,18.5,0.46,0.1,0.45,1.2,-7.3,0.162,-49.2,-1.97,1.06727206137271,2.805,-9999,0
1,19.5,0.41,0,0.4,1.3,-8.05,0.166,-45,-2.855,0.929534745438141,3.035,-9999,0
1,20.5,0.42,0,0.4,1.6,-7.65,0.175,-43.5,-3.06,0.861408568832769,2.945,-9999,0
