DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,1.04746,-0.0048186115,0.5090988889,4.97487,-24.2647,0.22003061005,-41.727,-1.967,1.21108244127366,1.79869802365,24.15,0
1,1.5,1.0291205,-0.0009869445,0.608813,4.851685,-22.7702,0.2305685,-45.1833506,-2.4845,1.16875602520615,1.55499,24.2,0
1,2.5,0.8281035,0.00476055555,0.512584,2.699785,-17.7014,0.217884,-45.6484293,-2.803,1.13020712015487,1.65214,24.65,0
1,3.5,0.982136,0.01004361115,0.45907622225,3.97301,-20.8541,0.1721535,-38.2514114,-3.257,1.20060392466451,1.66011,24.65,0
1,4.5,0.8132105,0.00203194445,0.5624923333,3.11674,-17.55015,0.192265,-33.6395,-3.204,1.31447155158981,1.459605,24.7,0
1,5.5,0.8861335,0.0059216667,0.51328144445,3.37506,-17.17195,0.203983,-37.277,-3.23,1.10223416867897,1.5942790859,24.7,0
1,6.5,0.8771745,0.0016255556,0.52322644445,3.76244,-22.316,0.203162,-44.8351487,-3.2555,1.12807902214967,1.5590562982,24.55,0
1,7.5,1.014365,0.00818583335,0.5884328889,4.10115,-18.268,0.19500370055,-40.2075,-2.6805,1.10578801733802,1.662651281,24.7,0
1,8.5,0.890628,0.0069666667,0.4872831111,5.52549,-18.5051,0.198008,-33.255,-2.8955,1.12589798298107,1.424345,24.7,6.279
1,9.5,0.7056625,-0.0152105555,0.2971581667,12.55445,-12.2381,0.2087745,7.822,-2.618,1.17256042710528,1.73406,24.6,68.85
1,10.5,0.270835,-0.0170102775,-0.03802423,17.356485999,9.40119,0.264191,59.51175,-1.65,1.54753452846409,1.54968,24.45,221.6
1,11.5,0.106614,-0.017068333,-0.191022444,24.86615,23.60445,0.28974,112.65286,-0.88,1.69657878802347,1.56823,24.55,336.6
1,12.5,-0.06215085,-0.021945,-0.261090222,28.2989,42.7172,0.2620385,122.8195655,-0.6795,1.71465214374052,1.658565,24.35,378.4
1,13.5,-0.114414,-0.013585,-0.2125009445,24.6551,35.68495,0.2770705,120.2,-0.609,1.98194665113213,1.73592,24.4,358.4
1,14.5,0.140019,-0.003367222,-0.161032111,24.2947,28.40105,0.267724,99.145,-0.365,1.81547839278196,1.42318,24.5,279.25
