DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.34,0,0.34,6.95,-7.7,0.305,-9.45,-0.04,0.7,3.9,-9999,0
1,1.5,0.35,0,0.35,5.3,-7,0.27,-10.2,-0.14,0.7,3.7,-9999,0
1,2.5,0.34,0,0.34,5.2,-6.55,0.29,-10,-0.09,0.7,3.6,-9999,0
1,3.5,0.395,0,0.395,3.7,-11.4,0.295,-18.55,-0.05,0.65,3.65,-9999,0
1,4.5,0.36,0,0.36,4.5,-8.3,0.27,-17.35,-0.01,0.6,3.3,-9999,0
1,5.5,0.38,0,0.38,4,-9.45,0.275,-19.05,-0.04,0.5,3.4,-9999,0
1,6.5,0.365,0,0.365,4.05,-11.65,0.285,-18.65,-0.82,0.5,3.4,-9999,0
1,7.5,0.31,0,0.31,2.2,-11.65,0.28,-12.95,-0.9,0.5,3.6,-9999,0
1,8.5,0.45,0,0.45,14.75,-2.05,0.32,15.6,0.52,0.65,3.95,-9999,44.1
1,9.5,0.64,0,0.64,26,30.05,0.42,66.95,1.3,1.1,4.95,-9999,90.45
1,10.5,0.68,0,0.68,20.55,66.7,0.41,127.8,3.61,1.65,4.95,-9999,186.25
1,11.5,0.66,0,0.66,14.45,83.6,0.37,154.6,5.155,1.95,4.35,-9999,216.5
1,12.5,0.64,0,0.64,15.6005,94.1,0.37,193.85,6.73,2.3,4.75,41,311.9
1,13.5,0.59,0,0.59,18.35,77.6,0.38,199.4,6.905,3,5,-9999,328.8
1,14.5,0.6,0,0.6,18.3,75.1,0.395,156.25,5.6,3.2,4.6,-9999,305.3
1,15.5,0.4,0,0.4,14.8,33.55,0.385,77.8,6.32,3.2,4.6,-9999,187.2
1,16.5,0.41,0,0.41,8.7,-1.95,0.33,13.3,4.59,2.95,4.3,-9999,57.8
1,17.5,0.375,0,0.375,2.7,-13.5,0.25,-28.1,2.785,1.75,3.35,-9999,0
1,18.5,0.35,0,0.35,2.9,-11.7,0.215,-31.5,1.945,1.2,3.25,-9999,0
1,19.5,0.4,0,0.4,3.6,-14,0.21,-24,1.71,1,3,-9999,0
1,20.5,0.39,0,0.39,5.15,-13.7,0.245,-22.6,1.44,0.8,3.4,-9999,0
1,21.5,0.38,0,0.38,5.6,-17.4,0.29,-18.65,0.795,0.8,3.75,-9999,0
1,22.5,0.41,0,0.41,5.7,-14,0.26,-18.45,0.175,0.7,3.45,-9999,0
1,23.5,0.41,0,0.41,2.5,-14.9,0.265,-18.55,-0.15,0.65,3.7,-9999,0
2,0.5,0.38,0,0.38,2.6,-5.2,0.175,-11.5,1.99,1.1,2.7,-9999,0
2,1.5,0.38,0,0.38,1.9,-7.4,0.19,-6.55,1.98,0.9,2.7,-9999,0
2,2.5,0.395,0,0.395,1.95,-8.1,0.2,-5.95,2.11,0.8,2.6,-9999,0
2,3.5,0.415,0,0.415,0.9,-8.8,0.2,-5.3,1.46,0.8,2.5,-9999,0
2,4.5,0.435,0,0.435,2.55,-9.1,0.205,-5.35,1.42,0.7,2.55,-9999,0
2,5.5,0.39,0,0.39,1.4,-8.4,0.16,-6.5,1.365,0.7,2.3,-9999,0
2,6.5,0.385,0,0.385,1.05,-9.35,0.19,-5.55,0.98,0.65,2.35,-9999,0
2,7.5,0.39,0,0.39,2.15,-6.95,0.19,-1.3,1,0.6,2.3,-9999,0
2,8.5,0.48,0,0.48,7.6,3.35,0.24,27.8,1.68,0.6,2.6,-9999,55.1
2,9.5,0.66,0,0.66,18.3,29.85,0.335,86.6,3.04,1.1,3.7,-9999,144.7
2,10.5,0.555,0,0.555,19.8,66.15,0.34,141.35,3.79,2.1,4,-9999,205.25
2,11.5,0.595,0,0.595,14.7,73.8,0.355,168.4,4.54,2.7,4,-9999,274.25
2,12.5,0.63,0,0.63,12.8,125.6005,0.365,242.05,5.55,3.45,4.05,40,378.1
2,13.5,0.585,0,0.585,10.2,144.9,0.42,262.5,7.31,4.65,4.5,-9999,434.5
2,14.5,0.58,0,0.58,7.25,109.45,0.385,198.5,8.46,4.7,4.4,-9999,348.9
2,15.5,0.52,0,0.52,7.1,47.1,0.38,106.6,8.715,4.4,4.3,-9999,233.95
2,16.5,0.435,0,0.435,5.6,7.4,0.32,31.2,7.505,4.15,4,-9999,93.15
2,17.5,0.395,0,0.395,1.55,-12.95,0.21,-23.85,6.185,3.25,2.9,-9999,0.8
2,18.5,0.38,0,0.38,1.9,-11.4,0.17,-25.9,4.74,2.3,2.6,-9999,0
2,19.5,0.36,0,0.36,1.2,-9.35,0.175,-22.35,3.63,1.95,2.6,-9999,0
2,20.5,0.36,0,0.36,2.05,-10.5,0.17,-23.1,3.505,1.85,2.6,-9999,0
2,21.5,0.385,0,0.385,2.1,-9.2,0.17,-19.2,2.765,1.6,2.55,-9999,0
2,22.5,0.48,0,0.48,2.2,-8.9,0.22,-16.1,2.56,1.6,2.85,-9999,0
2,23.5,0.48,0,0.48,2,-6.25,0.17,-16.8,2.24,1.45,2.6,-9999,0
3,0.5,0.385,0,0.385,2.6,-21.4,0.18,-24.75,3.265,1.2,2.8,-9999,0
3,1.5,0.36,0,0.36,2.3,-11.75,0.205,-22.6,3.095,1.2,2.7,-9999,0
3,2.5,0.34,0,0.34,1.8,-12.85,0.19,-19.05,2.81,1,2.4,-9999,0
3,3.5,0.39,0,0.39,0.95,-10.8,0.16,-14.1,2.575,0.9,2.4,-9999,0
3,4.5,0.36,0,0.36,2.2,-9.9,0.175,-13.25,2.54,0.8,2.45,-9999,0
3,5.5,0.36,0,0.36,2.85,-9.85,0.215,-12.8,2.48,0.7,2.6,-9999,0
3,6.5,0.36,0,0.36,4.25,-10.65,0.21,-11.4,1.74,0.7,2.5,-9999,0
3,7.5,0.435,0,0.435,4.15,-11.3,0.2,-0.25,1.82,0.7,2.6,-9999,1.3
3,8.5,0.63,0,0.63,17.9,6.4,0.235,40.3,3.265,1,2.8,-9999,72.4
3,9.5,0.71,0,0.71,34.65,45.25,0.355,136.65,4.96,1.55,4,-9999,217.6
3,10.5,0.78,0,0.78,30.5,105.7,0.4,253.6,6.515,2.6,4.3,-9999,418.8
3,11.5,0.77,0,0.77,17.95,174.4,0.415,346.2,7.905,3.8,4.55,-9999,568.8
3,12.5,0.78,0,0.78,17.8,191.8,0.415,374.5,7.97,4.2,4.5,46,607.6
3,13.5,0.8,0,0.8,20.9,186.3,0.41,336,9.03,4.9,4.35,-9999,567.8
3,14.5,0.66,0,0.66,18.7,166.7,0.415,287.2,9.585,5.65,4.8,-9999,489.65
3,15.5,0.625,0,0.625,16.3,96.7,0.39,176.5,10.315,5.95,4.4,-9999,342.9
3,16.5,0.52,0,0.52,12.15,22.85,0.4,52.55,10.43,5.85,4.3,-9999,155.1
3,17.5,0.37,0,0.37,4,-21.9,0.275,-25,9.285,4.5,3.55,-9999,15.4
3,18.5,0.39,0,0.39,1.65,-19.7,0.185,-36.15,6.625,3.2,2.9,-9999,0
3,19.5,0.37,0,0.37,1.65,-16,0.18,-34.95,6.1,2.8,2.8,-9999,0
3,20.5,0.355,0,0.355,2,-19.7,0.19,-35.1,5.225,2.3,2.7,-9999,0
3,21.5,0.36,0,0.36,2,-20.5,0.18,-31.3,4.2,1.95,2.75,-9999,0
3,22.5,0.34,0,0.34,2.4,-21.7,0.185,-33.2,3.61,1.7,2.8,-9999,0
3,23.5,0.34,0,0.34,2.85,-21.5,0.21,-30,3.54,1.3,2.9,-9999,0
4,0.5,0.53,0,0.53,4.6,-26.4,0.24,-23.15,6.47,1.55,3.3,-9999,0
4,1.5,0.55,0,0.55,3.95,-20.95,0.255,-22.95,6.43,1.65,3.4,-9999,0
4,2.5,0.63,0,0.63,4.4,-22.35,0.295,-25.1,5.995,1.5,3.75,-9999,0
4,3.5,0.65,0,0.65,3.35,-19.85,0.25,-19.7,5.91,1.4,3.35,-9999,0
4,4.5,0.58,0,0.58,2.65,-19.5,0.245,-24.1,5.08,1.3,3.1,-9999,0
4,5.5,0.625,0,0.625,4.65,-16.1,0.28,-16.8,4.65,1.1,3.6,-9999,0
4,6.5,0.605,0,0.605,3,-18.6,0.26,-20.95,4.22,1,3.35,-9999,0
4,7.5,0.63,0,0.63,6.3,-13.05,0.285,0.85,4.7,1.2,3.35,-9999,13.3
4,8.5,0.78,0,0.78,18.85,9.4,0.375,66.2005,6.19,1.75,4.2,-9999,149.7
4,9.5,0.945,0,0.945,24.95,60.4,0.51,186.8,8.81,2.95,5.8,-9999,327.4
4,10.5,0.99,0,0.99,19.6,141.4,0.52,306.5,10.525,4.6,5.65,-9999,499
4,11.5,0.97,0,0.97,20.3,198.8,0.52,402.15,12.285,6.7,5.8,-9999,632.8
4,12.5,1.09,0,1.09,21.4,205.35,0.525,434.25,13.12,7.55,5.8,47.5,689.75
4,13.5,1.13,0,1.13,20.55,192.5,0.5,411.7,13.92,8.4,6,-9999,638.6
4,14.5,0.95,0,0.95,18.5,160.3,0.495,322.9,14.37,9.2,5.55,-9999,527.45
4,15.5,0.875,0,0.875,15.1,101.95,0.46,208.9,14.4,8.65,5.5,-9999,378.3
4,16.5,0.85,0,0.85,14.7,33.75,0.46,86.2,14.28,8.9,5.3,-9999,192.7
4,17.5,0.73,0,0.73,5.5,-12.85,0.375,2.95,12.865,7.6,4.3,-9999,50.6
4,18.5,0.64,0,0.64,2.3,-14.45,0.21,-38.95,11.365,5.25,3.1,-9999,0
4,19.5,0.65,0,0.65,1.35,-13.9,0.175,-37.25,9.15,4.05,3.05,-9999,0
4,20.5,0.685,0,0.685,2.2,-13.1,0.19,-33.95,7.77,3.2,3,-9999,0
4,21.5,0.7,0,0.7,2,-16.9,0.215,-31.45,7.555,2.6,2.9,-9999,0
4,22.5,0.66,0,0.66,1.9,-14.9,0.195,-31.7,8.02,2.15,3,-9999,0
4,23.5,0.66,0,0.66,3.2,-16.05,0.215,-27.25,7.29,1.65,3.2,-9999,0
5,0.5,0.65,0,0.65,4.7,-26.15,0.275,-27.65,2.315,1,3.6,-9999,0
5,1.5,0.58,0,0.58,3.7,-24.8,0.28,-24.55,2.085,0.9,3.6,-9999,0
5,2.5,0.61,0,0.61,6.2,-24,0.3,-16.8,1.96,0.8,3.55,-9999,0
5,3.5,0.57,0,0.57,5.5,-18.1,0.295,-13.3,1.765,0.7,3.7,-9999,0
5,4.5,0.54,0,0.54,3.7,-13.85,0.31,-13.4,1.61,0.7,3.75,-9999,0
5,5.5,0.58,0,0.58,4.4,-17.1,0.315,-15.8,1.285,0.5,4.1,-9999,0
5,6.5,0.52,0,0.52,3.6,-20.1,0.35,-15.75,1.18,0.5,4.3,-9999,0
5,7.5,0.62,0,0.62,9.4,-6.3,0.36,15,1.63,0.75,4.25,-9999,36.6
5,8.5,0.765,0,0.765,25.35,24.2,0.47,92.4,2.83,1.25,5.6,-9999,172.3
5,9.5,0.91,0,0.91,30.3,83.1,0.5,221.2,3.815,2.05,6,-9999,394.1
5,10.5,0.87,0,0.87,30.45,132.75,0.51,245.05,5.15,2.8,5.8,-9999,437.1
5,11.5,0.965,0,0.965,40.3,155.5,0.485,329.35,6.22,3.45,5.7,-9999,570.15
5,12.5,0.94,0,0.94,41,179.6,0.47,395.2,7.41,4.4,5.85,50.5,640.6
