DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.1255,0,-0.5,0.688,-9,0.3135,-29.4255,4.229,2.015,2.285,28.001,0
1,1.5,0,0.22,-0.15,1,-10,0.313,-28,3.9,1.895,2.33,28.001,0
1,2.5,-0.1,0.19,-0.065,1,-8.9335,0.307,-24,3.6,1.645,2.38,28.001,0
1,3.5,-0.01,0.19,-0.275,0.8,-9,0.277,-19,3.485,1.55,2.3,28.001,0
1,4.5,0.0845,0.02,-0.3,0.63,-10.25,0.294,-22,3.09,1.4,2.205,28.001,0
1,5.5,0.0345,0.15,-0.22,1,-10,0.2735,-20.717,2.535,1.365,2.315,28.001,0
1,6.5,-0.069,0.09,-0.345,0.82,-10,0.2875,-19.968,2.1345,1.35,2.21,28.001,0
1,7.5,-0.261,0.31,-0.3,1,-10,0.2605,-20.71,1.77,1.205,2.21,28.001,0
1,8.5,0.015,0.195,-0.285,2,-5.57,0.2965,4,1.875,1.25,2.245,28.001,30.25
1,9.5,0.405,0.1,-0.23,7,15.97,0.353,72,2.35,1.42,2.14,28.001,120.75
1,10.5,0.5555,-0.33,-1.435,12,62.31,0.409,143.195,3.415,2,2.175,28.001,211
1,11.5,-0.0225,-0.56,-1.15,17.155,104.51,0.431,210.79,4.755,2.52,2.18,28.001,305
1,12.5,0.42,-0.21,-0.88,18,124.95,0.445,255.38,5.705,3,2.31,28.001,356.75
1,13.5,0.11,-0.25,0.455,20,125.23,0.455,220.5,6.93,3.47,2.35,28.001,316.5
1,14.5,0.182,-0.1,-1.12,16.84,100,0.486,173,7.3,3.99,2.31,28.001,254.5
1,15.5,-0.159,0,-1.5,12,69.335,0.4515,97,7.235,4.3,2.19,28.001,168.5
1,16.5,0.296,0.09,-0.595,7,22,0.39,17.795,7.4,4.215,2.25,28.001,74.75
1,17.5,-0.1695,0.38,-0.105,2.085,-4,0.317,-25,7.045,3.655,2.26,28.001,3
1,18.5,-0.045,0.09,-0.14,1.72,-9.605,0.269,-36.11,6.4,3.255,2.315,28.001,0
1,19.5,0.023,0.17,-0.375,1.015,-11,0.314,-35,5.7,2.925,2.33,28.001,0
1,20.5,0.09,0.035,-0.12,1.36,-13,0.334,-36.31,5.464,2.715,2.27,28.001,0
1,21.5,0.05,0.1,-0.155,1,-13,0.306,-32.74,5.105,2.455,2.365,28.001,0
1,22.5,0.0805,0.15,-0.01,1,-11.32,0.285,-33.0325,4.65,2.31,2.36,28.001,0
1,23.5,0.08,0.035,-0.48,1,-12,0.3125,-27.58,4.347,2.275,2.27,28.001,0
2,0.5,-0.204,0.28,-0.06,1,-12,0.323,-30.21,2.585,1.77,2.355,28.001,0
2,1.5,-0.000999999999999999,0.07,-0.16,1.882,-11,0.3215,-28.375,2.25,1.7,2.38,28.001,0
2,2.5,-0.1245,0.21,-0.1,2,-11.12,0.3445,-30.9495,2.14,1.54,2.435,28.001,0
2,3.5,-0.181,0.11,-0.145,2,-11,0.3095,-27.81,1.8,1.42,2.49,28.001,0
2,4.5,-0.113,0.06,-0.23,2,-10.8835,0.3045,-25.484,1.62,1.38,2.45,28.001,0
2,5.5,-0.068,0.19,-0.01,2,-9.052,0.315,-27,1.4,1.33,2.475,28.001,0
2,6.5,0.023,0.145,-0.07,1.73,-10,0.3115,-27,1.35,1.26,2.56,28.001,0
2,7.5,-0.07,0.13,-0.5,2,-11.12,0.2915,-26.325,1,1.19,2.39,28.001,0
2,8.5,-0.08,0.23,-0.075,4.406,-3,0.334,5,0.9,1.3,2.48,28.001,37.25
2,9.5,0.3785,-0.295,0.01,10,25,0.406,83.38,1.165,1.5,2.35,28.001,147.5
2,10.5,0.25,-0.4,-0.365,16,79.278,0.449,169.335,1.85,1.8,2.37,28.001,261.5
2,11.5,0.3,-0.52,-0.74,22,139,0.487,249,2.605,2.27,2.415,28.001,364.75
2,12.5,0.66,-0.455,0.33,25,181.5,0.5355,295.6,3.755,2.715,2.445,28.001,418.25
2,13.5,0.296,-0.27,-0.25,26,173.5,0.505,269.09,4.625,3.18,2.52,28.001,392.5
2,14.5,-0.29,-0.145,-0.41,24,137.5,0.503,216.27,5.19,3.6,2.47,28.001,320.5
2,15.5,-0.09,-0.08,0.26,19.5055,87,0.4865,135.685,5.46,3.9,2.69,28.001,228.5
2,16.5,-0.136,-0.03,0.025,12,40,0.473,35,5.5,3.9,2.55,28.001,106.75
2,17.5,-0.3715,0.14,-0.49,3.42,-0.79,0.372,-19,4.935,3.55,2.42,28.001,13
2,18.5,-0.09,0.305,0.1,1.259,-9,0.3215,-44,4.2,3.1,2.445,28.001,0
2,19.5,-0.13,0.185,-0.42,2.1815,-10.2,0.345,-41.93,3.9,2.815,2.52,28.001,0
2,20.5,-0.227,0.185,-0.07,2.329,-13,0.355,-39.67,3.685,2.435,2.475,28.001,0
2,21.5,-0.17,0.245,-0.05,1.74,-12,0.336,-36.89,3.3,2.15,2.395,28.001,0
2,22.5,-0.045,0.22,-0.1,2,-10,0.3175,-32.9775,2.955,1.945,2.39,28.001,0
2,23.5,-0.08,0.31,0.21,1.64,-10.5,0.316,-29.72,2.7,1.865,2.35,28.001,0
3,0.5,-0.113,0.14,-0.01,1,-8,0.247,-31.255,3.2,1.64,2.06,28.001,0
3,1.5,-0.13,0.23,0.33,1,-9,0.2585,-29.475,2.8,1.5,2.05,28.001,0
3,2.5,-0.05,0.13,-0.125,1,-8.01,0.2415,-26.88,2.33,1.425,2.065,28.001,0
3,3.5,-0.08,0.195,0.16,2,-8.02,0.242,-25,1.95,1.31,2.04,28.001,0
3,4.5,0.0215,0.08,-0.07,1.91,-9,0.235,-21.5,1.9,1.21,2.09,28.001,0
3,5.5,0.046,0.18,0.085,1,-7,0.241,-19,1.7,1.2,2.11,28.001,0
3,6.5,-0.0915,0.295,0.18,1.25,-7,0.249,-17,1.5,1.175,2.185,28.001,0
3,7.5,0.046,0.285,-0.11,2,-8,0.265,-14.035,1.25,1.1,2.22,28.001,1
3,8.5,-0.204,0.17,-0.225,4.495,-0.29,0.3135,13.622,1.3,1.25,2.15,28.001,57
3,9.5,0.29,-0.03,-0.33,14,33.965,0.3665,94.78,2,1.48,2.21,28.001,157
3,10.5,0.005,-0.52,-0.9,19.49,104,0.438,188.17,2.9,1.95,2.225,28.001,267
3,11.5,0.1975,-0.38,-0.61,26,135.5,0.459,246,3.8,2.35,2.28,28.001,347
3,12.5,0.5,-0.305,-0.175,26.285,167,0.494,275.515,4.57,2.91,2.35,28.001,390
3,13.5,0.455,-0.38,-0.08,24,154.27,0.495,275.725,5.345,3.385,2.46,28.001,386
3,14.5,0.495,-0.2,-0.21,23.195,150.23,0.487,219.09,5.75,3.7,2.46,28.001,338
3,15.5,0.23,-0.1,0.36,17,103.09,0.4755,154.21,6.2,4,2.36,28.001,242.25
3,16.5,-0.045,0.04,-0.125,11,49,0.4485,59.05,6.385,4.085,2.35,28.001,123
3,17.5,-0.21,0.205,-0.155,5,5,0.3955,-2,5.975,3.755,2.21,28.001,31
3,18.5,-0.09,0.33,-0.14,2,-6,0.294,-29,5.415,3.32,2.28,28.001,0
3,19.5,-0.068,0.22,-0.06,1.51,-7.75,0.293,-33.1,5.19,3.055,2.24,28.001,0
3,20.5,-0.08,0.18,0.05,1,-8.57,0.311,-35,4.74,2.66,2.245,28.001,0
3,21.5,-0.068,0.17,-0.03,1.8865,-9.14,0.31,-30.275,4.25,2.385,2.26,28.001,0
3,22.5,-0.02,0.16,0.26,1.4,-7.21,0.2915,-28.5,3.81,2.25,2.2,28.001,0
3,23.5,-0.068,0.435,0.075,1,-8.39,0.285,-28.145,3.6785,1.9,2.135,28.001,0
4,0.5,0.273,0.27,-0.01,1,-13,0.2875,-36.58,7.2,2.565,2.44,29,0
4,1.5,0.263,0.4,0.295,2,-12.63,0.292,-34,6.9,2.325,2.435,29,0
4,2.5,0.24,0.105,0.07,2,-11,0.284,-30,6.8,2.04,2.38,29,0
4,3.5,0.387,0.42,0.39,1.99,-9.097,0.238,-23,6.56,1.82,2.31,29,0
4,4.5,0.233,0.21,-0.01,2,-9.25,0.2345,-25,6.1,1.61,2.33,29,0
4,5.5,0.16,0.345,-0.48,2,-9.17,0.249,-24.675,5.6,1.42,2.225,29,0
4,6.5,-0.021,0.17,-0.19,2,-8,0.232,-20.029,5.2,1.365,2.255,29,0
4,7.5,0.05,0.36,0.43,2,-8.915,0.246,-10.96,5,1.34,2.24,29,6.25
4,8.5,0.228,0.105,0.485,6.097,3,0.314,38,5.1,1.505,2.15,29,86.75
4,9.5,0.75,-0.39,0.23,17,44,0.409,124.915,5.9,2.115,2.235,29,186
4,10.5,0.464,-0.71,-0.64,21.585,116.38,0.461,234,6.8495,2.96,2.27,29,350.5
4,11.5,0.285,-0.72,-0.18,27.5,185.95,0.4945,313.5,7.9,3.74,2.3,29,471.75
4,12.5,0.2865,-0.235,-0.01,31,211.5,0.513,367.62,8.885,4.495,2.4,29,551
4,13.5,0.24,-0.56,1.1,30.5,208.74,0.5375,346.32,10.01,5.325,2.515,29,527.75
4,14.5,0.11,-0.23,1.37,26.96,181.825,0.523,299.595,10.785,5.84,2.65,29,447.5
4,15.5,0.11,-0.015,-0.56,24.18,134,0.5195,216.07,11.2,6.45,2.655,29,345.25
4,16.5,0.33,-0.045,0.115,16,73,0.499,93,11.23,6.61,2.485,29,188
4,17.5,-0.068,0.165,-0.35,8,12,0.437,7.275,11.055,6.4,2.345,29,59
4,18.5,0.06,0.29,-0.14,3,-8,0.307,-41.23,10.57,5.79,2.35,29,1
4,19.5,0.046,0.31,-0.2,2,-11.695,0.306,-46.4015,10.085,5.065,2.43,29,0
4,20.5,0.16,0.37,0.015,2,-13,0.2965,-43.42,9.645,4.56,2.48,29,0
4,21.5,0.319,0.3,-0.12,2.36,-13.555,0.327,-42.72,9.2,4.19,2.575,29,0
4,22.5,0.228,0.19,-0.32,1.98,-12,0.311,-38.585,8.445,3.6,2.51,29,0
4,23.5,0.319,0.31,0.04,1.666,-12.7995,0.2855,-39.42,7.9,3.14,2.48,29,0
5,0.5,0.26,0.05,-0.39,2,-10.61,0.291,-47.291,9.265,4.075,2.37,28.001,0
5,1.5,0.22,0.19,-0.08,1.858,-10.6,0.284,-42.315,8.65,3.765,2.39,28.001,0
5,2.5,0.216,0.3,0.135,1,-9.52,0.257,-40.8,7.75,3.3,2.36,28.001,0
5,3.5,0.1925,-0.015,0.03,1.165,-10.1,0.302,-41,7.25,2.92,2.35,28.001,0
5,4.5,0.319,0.18,0.21,1.74,-9.7,0.3165,-35,6.65,2.61,2.38,28.001,0
5,5.5,0.1975,0.27,0.46,1,-10,0.2845,-34.22,6.1,2.4,2.4,28.001,0
5,6.5,0.0755,0.09,-0.195,2,-10.8,0.2815,-32.8795,5.697,2.27,2.53,28.001,0
5,7.5,0.5315,0.34,0.09,3,-7,0.319,-1.83,5.25,2.305,2.33,28.001,29
