DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.5927612,-9999,0.4401487,-0.2140752,-13.22988,0.5760815,-15.1691,-10.2064,0.13281,2.734973,31.14483,0
1,1.5,0.6375407,-9999,0.465997,-0.08209958,-12.87609,0.55529535,-14.41179,-10.35532,0.1310039,2.71774,31.333165,0
1,2.5,0.555004,-9999,0.4896373,-0.09449007,-11.484875,0.5371504,-12.80557,-10.548315,0.1222696,2.627016,31.35867,0
1,3.5,0.60261575,-9999,0.50375895,-0.04399074,-11.30492,0.5433242,-12.40615,-9.992373,0.1264648,2.634825,31.321,0
1,4.5,0.6104901,-9999,0.5463987,-0.1097521,-11.32113,0.5631384,-10.3961,-10.11315,0.12834085,2.618502,31.313,0
1,5.5,0.5884945,-9999,0.4782039,-0.0698969,-12.170095,0.5400342,-9.83951,-10.083125,0.126569,2.552701,31.3,0
1,6.5,0.5464042,-9999,0.4507677,-0.065889065,-10.93252,0.5598606,-9.242661,-10.15898,0.113788,2.63454,31.22083,0
1,7.5,0.5850981,-9999,0.4864688,-0.1318635,-9.212033,0.5644352,-6.723668,-10.09487,0.1033677,2.6314405,31.25333,1.2394435
1,8.5,0.6093926,-9999,0.5019416,0.20187395,-1.551773,0.5848113,14.06442,-9.815044,0.1027194,2.680287,31.1525,39.714165
1,9.5,0.6695656,-9999,0.5024183,1.227047,18.784565,0.62871315,63.81256,-9.405261,0.1011112,2.657937,31.17633,112.5333
1,10.5,0.5934055,-9999,0.51318925,3.484872,44.52182,0.6647198,114.93105,-8.6280875,0.1203194,2.8004555,31.139,182.01815
1,11.5,0.5826183,-9999,0.4975617,5.254448,63.97393,0.6867926,138.623,-7.688965,0.1890263,2.89868,31.13333,222.873
1,12.5,0.6143925,-9999,0.4672448,5.137823,72.94456,0.7073873,136.68725,-7.1727855,0.2747951,2.966871,31.155,226.8666
1,13.5,0.6004954,-9999,0.54418325,5.821342,62.93517,0.68257705,108.792,-7.153632,0.36233525,2.958327,31.3215,185.6223
1,14.5,0.5543796,-9999,0.5079552,4.116462,44.50155,0.68761575,62.73166,-6.968133,0.4330605,2.951775,31.437,131.1129
1,15.5,0.5323571,-9999,0.5068677,1.927719,18.03058,0.6371146,10.86125,-7.2862675,0.4362655,2.8421235,31.1345,59.593295
1,16.5,0.476386,-9999,0.48399155,0.42286605,-2.782364,0.5951962,-17.7527,-7.680267,0.3650047,2.651177,31.12934,3.896605
1,17.5,0.472852,-9999,0.41665375,-0.029685895,-9.3626725,0.5784598,-19.86867,-8.094427,0.31017635,2.726246,31.106,0
1,18.5,0.5302195,-9999,0.4359877,-0.1408429,-12.159535,0.60313225,-20.96012,-8.430323,0.27143455,2.785457,31.07133,0
1,19.5,0.5632455,-9999,0.5053275,-0.2526741,-13.50682,0.58859125,-17.08043,-9.0279995,0.25191765,2.82771,31.037165,0
1,20.5,0.4772893,-9999,0.4477014,-0.24383435,-12.054705,0.5832927,-16.06569,-9.344141,0.22707095,2.758792,31.037335,0
1,21.5,0.4849948,-9999,0.4625605,-0.166644,-10.716595,0.5704152,-14.25991,-9.228829,0.1902851,2.830583,31.08033,0
1,22.5,0.588505,-9999,0.4881846,0.02268632,-11.57898,0.5680847,-12.25204,-9.63493,0.17832385,2.768228,31.081,0
1,23.5,0.54339375,-9999,0.456843,-0.1701574,-12.04733,0.5858609,-11.854885,-9.668608,0.1585205,2.784656,31.107,0
2,0.5,0.37435295,-9999,0.3687871,-0.22812805,-9.1668865,0.52664085,-12.60767,-10.050335,0.1638981,2.673456,30.394,0
2,1.5,0.4014207,-9999,0.3415364,-0.29481295,-9.282399,0.5338624,-12.033415,-10.2756,0.15070355,2.62348,30.394665,0
2,2.5,0.46505005,-9999,0.3749943,-0.1406428,-8.60344,0.5354826,-11.372265,-10.18677,0.14039875,2.635839,30.39734,0
2,3.5,0.45547705,-9999,0.3893445,-0.1049,-7.399952,0.5122193,-9.393552,-10.27374,0.1378045,2.5956105,30.39833,0
2,4.5,0.45357555,-9999,0.37378515,-0.093507875,-6.767042,0.5112589,-8.665968,-10.81432,0.1275051,2.575177,30.38967,0
2,5.5,0.46107335,-9999,0.433982,-0.08952536,-7.316,0.5016388,-9.0673075,-10.67665,0.1243833,2.604152,30.425,0
2,6.5,0.4417852,-9999,0.38870495,-0.0460344,-6.1170005,0.5151035,-8.316348,-10.7494,0.1214805,2.624443,30.42633,0
2,7.5,0.52006165,-9999,0.4677908,0.0023622625,-6.112818,0.5284713,-4.5900375,-10.991535,0.11508605,2.605672,30.430335,2.2549535
2,8.5,0.5204738,-9999,0.44530425,0.2894948,1.808406,0.5564563,19.473605,-10.684705,0.1007273,2.649827,30.42767,41.50581
2,9.5,0.5719637,-9999,0.4709194,1.7821945,24.162045,0.62617555,65.64432,-10.1056,0.08998531,2.767033,30.42834,112.3188
2,10.5,0.5203623,-9999,0.4366447,4.2470435,51.25244,0.6465054,119.5184,-9.327704,0.1112109,2.7653505,30.431335,186.8513
2,11.5,0.5273187,-9999,0.3833658,6.627404,73.13289,0.6482664,147.90865,-8.416548,0.2231134,2.7243135,30.44233,230.81135
2,12.5,0.52782455,-9999,0.46277505,7.009221,76.709335,0.6711844,143.39235,-7.9226715,0.34640355,2.9054365,30.466,232.8452
2,13.5,0.4776021,-9999,0.4106557,6.100161,72.08575,0.6677278,124.12255,-7.574933,0.4364488,2.8933695,30.451665,204.5931
2,14.5,0.51729015,-9999,0.4826995,5.163424,56.22869,0.68137645,84.123255,-7.336573,0.4875336,2.868935,30.4505,150.08315
2,15.5,0.4180305,-9999,0.3972145,2.629604,27.88843,0.651501,26.84307,-7.425034,0.4913944,2.873523,30.43567,81.04533
2,16.5,0.4239424,-9999,0.35329785,0.58109865,3.027634,0.5615913,-9.7748665,-7.7528625,0.4585465,2.562305,30.41167,13.04858
2,17.5,0.43936745,-9999,0.3246086,-0.125994,-5.874646,0.5088816,-24.525155,-7.9506615,0.38376195,2.451108,30.411335,0
2,18.5,0.4190607,-9999,0.32346065,-0.2711971,-8.324526,0.5307233,-18.18283,-8.442593,0.31998375,2.62568,30.409,0
2,19.5,0.3849137,-9999,0.3539288,-0.3569185,-7.7742285,0.54619665,-18.09916,-8.942621,0.2553462,2.7129425,30.379,0
2,20.5,0.4412096,-9999,0.39189085,-0.22171885,-8.5834955,0.54189625,-16.267665,-9.3444145,0.2383198,2.640983,30.362,0
2,21.5,0.4357607,-9999,0.35255915,-0.1668956,-9.76844,0.56048755,-17.18587,-9.620967,0.22408805,2.666156,30.413665,0
2,22.5,0.4715202,-9999,0.3998997,-0.2081971,-13.2171,0.5418962,-16.39788,-9.7559935,0.2081644,2.62591,30.394,0
2,23.5,0.47046405,-9999,0.40284115,-0.2002206,-9.6362695,0.5201051,-15.70542,-9.908767,0.1947982,2.6642435,30.39917,0
3,0.5,0.3965157,-9999,0.4000255,-0.47838255,-12.69985,0.5247446,-20.80594,-10.0998,0.218501,2.7561775,30.34433,0
3,1.5,0.4368455,-9999,0.3786973,-0.32637895,-13.27247,0.53115265,-17.39437,-10.35249,0.1988835,2.730503,30.347,0
3,2.5,0.3887893,-9999,0.3884294,-0.3540284,-12.669325,0.5172898,-17.06845,-10.63308,0.1845898,2.710604,30.361,0
3,3.5,0.4425378,-9999,0.3641152,-0.36310385,-12.2363,0.5221078,-16.1094,-10.83447,0.17455965,2.6976515,30.361,0
3,4.5,0.3787463,-9999,0.30940865,-0.3282783,-12.04914,0.52331075,-16.15427,-10.960035,0.1602354,2.7273245,30.36,0
3,5.5,0.4197375,-9999,0.3930092,-0.25481925,-12.87899,0.5116662,-15.238785,-11.20455,0.1531381,2.689749,30.38767,0
3,6.5,0.4182796,-9999,0.3799346,-0.2816296,-12.22529,0.5176186,-15.18412,-11.38127,0.1512271,2.695137,30.386,0
3,7.5,0.42001115,-9999,0.4103788,-0.159664,-9.9966725,0.5255604,-1.869343,-11.2725,0.14693795,2.6903385,30.423,10.91293
3,8.5,0.4757355,-9999,0.4434898,0.5438555,8.296357,0.5933231,40.595405,-10.795515,0.1344299,2.750192,30.42167,85.83403
3,9.5,0.5438891,-9999,0.4273741,2.264751,43.21266,0.6428946,112.452,-9.837442,0.1282288,2.8499175,30.457665,188.94
3,10.5,0.55984365,-9999,0.424295,5.734156,85.54684,0.6562223,179.5797,-8.6503185,0.180719,2.803127,30.398835,285.4524
3,11.5,0.58409035,-9999,0.49517545,7.739787,115.16895,0.678519,228.11815,-7.7306945,0.31963065,3.04014,30.37833,358.65315
3,12.5,0.6291105,-9999,0.4846492,8.878405,136.9994,0.7147989,244.2147,-7.200483,0.4576088,3.039964,30.365835,395.3633
3,13.5,0.6576837,-9999,0.5211552,8.1143375,129.9789,0.7182091,220.4433,-6.77687,0.5805042,3.041899,30.412,372.4598
3,14.5,0.5555005,-9999,0.487576,7.173213,102.42015,0.73621865,151.86675,-6.3870365,0.6625938,3.1462395,30.37366,280.91795
3,15.5,0.44442,-9999,0.4392852,4.279424,62.6119,0.70141825,62.55926,-6.3414375,0.75340005,3.0553095,30.34933,164.33765
3,16.5,0.3697423,-9999,0.4183271,1.590991,14.36576,0.6210166,-0.9306991,-6.673373,0.72486285,2.793705,30.35367,46.67843
3,17.5,0.3653496,-9999,0.3702536,-0.02597582,-7.974056,0.5382165,-49.720015,-7.303967,0.60039665,2.574663,30.355,0.4710001
3,18.5,0.36020125,-9999,0.3059436,-0.1784223,-12.96426,0.5275463,-48.164825,-7.7789315,0.4972421,2.6293105,30.336,0
3,19.5,0.3750847,-9999,0.3565852,-0.4248735,-14.96814,0.54258785,-40.357325,-8.323928,0.4297753,2.66671,30.3185,0
3,20.5,0.3882658,-9999,0.3519383,-0.327119,-13.37432,0.5531749,-36.354415,-8.8142835,0.36768195,2.744117,30.36633,0
3,21.5,0.43714725,-9999,0.3770964,-0.3233085,-14.460415,0.533244,-32.5733,-9.487305,0.3186488,2.7372835,30.334,0
3,22.5,0.41737305,-9999,0.3687269,-0.3628893,-13.99346,0.5510402,-27.87641,-9.673429,0.28000785,2.868322,30.3185,0
3,23.5,0.4307757,-9999,0.3697573,-0.4048021,-13.83298,0.5483561,-24.059725,-10.006057,0.25416325,2.823181,30.3305,0
4,0.5,0.4686388,-9999,0.4312566,-0.2552742,-15.186355,0.5191392,-36.15634,-7.977999,0.34780995,2.680333,30.22217,0
4,1.5,0.4679573,-9999,0.3762474,-0.3548918,-15.604625,0.5299246,-33.80902,-8.231653,0.3142772,2.711679,30.206,0
4,2.5,0.4777743,-9999,0.3756512,-0.2516041,-14.335805,0.5141539,-29.35795,-8.618356,0.28529255,2.693607,30.19833,0
4,3.5,0.4796562,-9999,0.3386206,-0.3530603,-12.76266,0.5063682,-26.496565,-8.9559165,0.2530607,2.753452,30.189665,0
4,4.5,0.3809169,-9999,0.3650292,-0.2229396,-11.67233,0.4986187,-21.47061,-9.193679,0.2292543,2.689725,30.194835,0
4,5.5,0.4031893,-9999,0.3626223,-0.23053995,-13.301225,0.5036164,-18.6931,-9.376933,0.2299095,2.7251175,30.23567,0
4,6.5,0.43255925,-9999,0.3476013,-0.097031505,-12.72987,0.4859753,-13.9973,-9.4055205,0.20896935,2.629611,30.167835,0.07387833
4,7.5,0.4839708,-9999,0.44591075,-0.07148911,-4.53274,0.51517205,8.598724,-9.548737,0.1992689,2.643613,30.151,38.14534
4,8.5,0.54336475,-9999,0.414336,1.1358715,21.5649,0.6027509,81.03604,-8.605334,0.1833692,2.66487,30.23467,151.6393
4,9.5,0.5948952,-9999,0.47694335,4.188479,64.53658,0.6748986,181.6619,-7.710099,0.22113635,2.881831,30.1675,287.0903
4,10.5,0.6582924,-9999,0.5816632,7.624922,107.9382,0.7266973,245.4671,-6.625232,0.37144565,2.9948615,30.175,386.695
4,11.5,0.6557942,-9999,0.5715286,10.33488,135.9697,0.7312462,283.7628,-5.6661665,0.6011577,3.065394,30.23283,442.22185
4,12.5,0.6966905,-9999,0.59593395,11.46613,145.6597,0.7416296,296.0464,-4.7877,0.8214273,3.1346325,30.24567,467.3507
4,13.5,0.6038885,-9999,0.5809732,11.196035,140.1887,0.7608444,258.84765,-4.3186925,0.98746265,3.1832565,30.2685,415.4781
4,14.5,0.6757092,-9999,0.613449,9.389237,115.77275,0.7692757,190.2445,-4.1257,1.021947,3.215655,30.27867,325.574
4,15.5,0.6264185,-9999,0.5790815,6.7606385,79.94766,0.7404519,107.06725,-4.044717,1.101424,3.060365,30.27683,222.32515
4,16.5,0.49437815,-9999,0.54098265,2.9826975,28.283475,0.6697877,16.28998,-4.209067,1.125917,2.9188875,30.267165,83.11533
4,17.5,0.4225389,-9999,0.46605,0.42124535,-1.4899045,0.5655849,-38.41002,-4.7668295,1.0201105,2.6123755,30.34133,5.7222055
4,18.5,0.3592605,-9999,0.3810343,-0.3482172,-10.15758,0.5112236,-51.86565,-5.720372,0.8791834,2.4692195,30.22183,0
4,19.5,0.4714025,-9999,0.4452613,-0.2713478,-12.06752,0.5033251,-49.475905,-6.198957,0.6875079,2.568047,30.219665,0
4,20.5,0.49412495,-9999,0.3790756,-0.3528586,-11.87315,0.5313612,-45.8027,-6.7254995,0.575422,2.6062965,30.21733,0
4,21.5,0.4427811,-9999,0.3297037,-0.3271091,-12.79729,0.5307365,-43.89649,-7.290534,0.5141588,2.682447,30.233,0
4,22.5,0.508257,-9999,0.3612324,-0.3002902,-14.55189,0.5193111,-43.63568,-7.696099,0.4575247,2.671562,30.246,0
4,23.5,0.4797297,-9999,0.3935674,-0.29645735,-13.49381,0.5056464,-35.5086,-7.9157175,0.3873434,2.625669,30.22767,0
5,0.5,0.5424392,-9999,0.458102,-0.28868295,-15.10512,0.5040958,-48.29468,-5.477841,0.6486246,2.6512225,30.77433,0
5,1.5,0.59501235,-9999,0.4771543,-0.31599,-15.15332,0.4919496,-43.62933,-5.707494,0.5496256,2.647846,30.70633,0
5,2.5,0.535378,-9999,0.4484558,-0.3364636,-15.239295,0.4977464,-42.810755,-5.9348775,0.43906095,2.6155425,30.925,0
5,3.5,0.5470505,-9999,0.4731807,-0.3212369,-14.9376,0.5013206,-39.162535,-6.200035,0.37987635,2.612329,30.99217,0
5,4.5,0.4911039,-9999,0.4549155,-0.2751878,-13.02121,0.48676885,-37.563595,-6.6420655,0.3548427,2.5437,30.998335,0
5,5.5,0.5047811,-9999,0.4795298,-0.3377976,-14.5563,0.4904429,-33.365275,-6.930218,0.32522895,2.557828,30.981,0
5,6.5,0.55689785,-9999,0.4652061,-0.1521357,-12.184895,0.5002335,-16.53163,-7.04132,0.3236132,2.54531,30.83233,5.05244
5,7.5,0.6304362,-9999,0.55017815,0.15609245,3.391477,0.5502225,29.376005,-6.772029,0.2898444,2.617591,30.849,80.41023
5,8.5,0.7278469,-9999,0.5080384,3.359581,40.616495,0.6143105,126.0233,-5.752117,0.29274445,2.67478,30.67808,211.8134
5,9.5,0.80075975,-9999,0.6164697,8.313012,92.13846,0.6859789,231.18675,-4.4609165,0.47545455,2.8436525,30.5545,358.98605
5,10.5,0.8261228,-9999,0.73144275,12.12302,136.60005,0.6990234,319.2437,-3.444901,0.7592449,2.9380875,30.569165,493.2209
5,11.5,0.8877319,-9999,0.79350535,14.72558,167.23365,0.700328,379.01485,-2.364746,1.181737,2.928709,30.57667,578.0252
5,12.5,0.8686119,-9999,0.80997845,15.981935,176.0423,0.70887245,368.2884,-1.514632,1.487461,2.954348,30.489,569.2767
5,13.5,0.7867938,-9999,0.8183463,17.25175,162.5455,0.72888485,343.8293,-1.1349765,1.741897,3.0536385,30.54467,556.83055
5,14.5,0.9363317,-9999,0.86836745,14.66915,147.02305,0.7409409,265.9985,-0.8291667,1.8837025,3.0585855,30.65,448.4077
5,15.5,0.7065361,-9999,0.7601447,10.17831,106.9132,0.7409506,158.0045,-0.8414333,1.959662,3.082891,30.63166,311.764
5,16.5,0.64132465,-9999,0.6549999,5.617066,52.18042,0.691781,40.38748,-1.124452,2.000932,3.020077,30.5889,145.7712
5,17.5,0.5452989,-9999,0.5699201,1.532111,6.142807,0.5876315,-24.64334,-1.5918725,1.839375,2.7101,30.55617,20.402165
5,18.5,0.45747055,-9999,0.44938675,0.083143,-8.482325,0.5094699,-70.12531,-2.310633,1.582173,2.510029,30.50205,0
5,19.5,0.5315319,-9999,0.44708365,-0.2245583,-12.11239,0.48706685,-68.25661,-2.9393,1.3361245,2.5027955,30.47767,0
5,20.5,0.4760813,-9999,0.40358985,-0.1646217,-13.251755,0.4772154,-64.10411,-3.414967,1.111781,2.508467,30.44067,0
5,21.5,0.5982133,-9999,0.41857,-0.1435773,-13.81751,0.5131521,-61.60939,-3.747716,0.992558,2.622022,30.49665,0
5,22.5,0.5808015,-9999,0.4738318,-0.3566297,-14.521495,0.5151109,-59.56848,-4.0811165,0.8660831,2.611169,30.62,0
5,23.5,0.5600138,-9999,0.44606955,-0.06149607,-15.60697,0.5153145,-56.040725,-4.550483,0.7672611,2.7051935,30.65133,0
6,0.5,0.8956274,-9999,0.61922475,-0.3152273,-14.65711,0.4330107,-47.274595,-1.6448705,0.8611188,2.383734,32.08434,0
6,1.5,0.8251624,-9999,0.6386121,-0.2184093,-14.05157,0.441978,-42.3973,-1.941107,0.7666339,2.389376,32.195335,0
6,2.5,0.8098943,-9999,0.650758,-0.3361971,-12.938425,0.4411717,-35.38596,-2.2163625,0.6298363,2.345927,32.14316,0
6,3.5,0.7930164,-9999,0.59106355,-0.4047571,-14.28597,0.431511,-40.66872,-2.5970325,0.6311419,2.352945,32.15633,0
