DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,-0.061,0,-0.061,-0.119,-9.66,0.159,-42.321,-8.76,0.66,2.998,10.9065,-1.2485
1,1.5,0.005,0,0.004,0.1155,-16.18,0.1855,-45.4305,-8.0285,0.605,3.203,10.907,-1.1315
1,2.5,-0.011,0,0.005,-1.223,-11.4065,0.19,-40.2995,-8.329,0.525,2.762,10.9095,-1.4465
1,3.5,-0.023,0,-0.06,-0.312,-14.3135,0.152,-38.5345,-8.058,0.535,2.6145,10.913,-1.524
1,4.5,-0.147,0,-0.152,0.469,-11.8595,0.149,-31.5925,-8.0775,0.485,2.8455,10.914,-1.2065
1,5.5,-0.1385,0,-0.1385,1.392,-14.2055,0.1635,-28.447,-8.062,0.535,3.171,10.919,-0.993
1,6.5,-0.17,0,-0.1635,1.141,-17.162,0.204,-30.353,-8.258,0.545,3.4775,10.925,-1.24
1,7.5,-0.1175,0,-0.099,0.4515,-18.583,0.2225,-35.6365,-8.2095,0.7,3.6925,10.927,-0.4425
1,8.5,-0.1685,0,-0.162,0.998,-15.773,0.224,-14.1135,-8.2915,0.795,3.4695,10.9265,47.4065
1,9.5,-0.28,0,-0.158,1.1125,-14.617,0.2305,26.184,-7.809,0.885,3.578,10.9095,227.158
1,10.5,-0.345,0,-0.285,6.9255,-8.8045,0.207,60.8445,-6.255,1.08,3.2925,10.9025,394.476
1,11.5,-0.604,0,-0.511,13.8165,-7.993,0.243,65.3905,-4.7025,1.2,4.143,10.9025,486.7
1,12.5,-0.466,0,-0.373,18.288,-14.8835,0.247,75.148,-3.9685,1.285,4.9715,10.897,473.9145
1,13.5,-0.651,0,-0.5575,21.712,-10.147,0.264,79.2015,-3.5545,1.445,4.8165,10.894,465.19
1,14.5,-0.567,0,-0.521,21.517,-10.461,0.311,42.809,-3.966,1.585,5.296,10.8995,364.745
1,15.5,-0.3495,0,-0.227,8.4,-9.636,0.276,-2.2025,-5.073,1.425,4.531,10.912,236.0225
1,16.5,-0.403,0,-0.225,3.861,-10.37,0.2145,-33.5515,-5.454,1.235,3.99,10.9175,87.285
1,17.5,-0.233,0,-0.23,0.3195,-18.8255,0.2145,-66.875,-6.796,0.81,3.51,10.921,1.729
1,18.5,-0.2425,0,-0.1325,0.278,-15.6125,0.2135,-58.2845,-6.64,0.795,3.3605,10.8905,-1.6485
1,19.5,-0.1135,0,-0.101,0.0565,-15.551,0.19,-48.071,-7.1745,0.83,3.1275,10.8915,-1.714
1,20.5,-0.0935,0,-0.079,0.043,-17.351,0.1645,-45.728,-7.2955,0.7,3.129,10.8945,-1.318
1,21.5,-0.099,0,-0.095,0.9025,-10.643,0.1585,-41.02,-7.488,0.71,3.016,10.8965,-1.011
1,22.5,-0.1675,0,-0.0985,0.774,-12.4365,0.158,-41.6475,-7.4505,0.67,3.418,10.9,-1.242
1,23.5,-0.01,0,-0.0385,-0.121,-17.5885,0.1605,-36.076,-8.3695,0.64,3.166,10.9025,-1.249
2,0.5,0.084,0,0.0035,0.84,-12.3105,0.141,-31.8365,-9.9265,0.63,3.1285,9.9535,-0.9995
2,1.5,-0.097,0,-0.108,0.0975,-12.031,0.1605,-24.818,-10.3755,0.635,2.876,9.913,-0.9295
2,2.5,-0.164,0,-0.107,0.13,-12.771,0.1475,-23.636,-9.928,0.74,2.8425,9.8795,-1.445
2,3.5,0.045,0,0.012,-0.476,-12.1745,0.1785,-22.9755,-9.857,0.665,3.6355,9.8505,-1.23
2,4.5,0.004,0,0.003,-0.1185,-17.3985,0.1855,-19.3375,-9.47,0.625,3.559,9.824,-0.9215
2,5.5,-0.0305,0,-0.123,0.409,-16.8055,0.1705,-20.713,-9.367,0.58,3.4625,9.7985,-0.896
2,6.5,0.032,0,0.014,-0.154,-12.889,0.177,-19.41,-10.04,0.565,3.6165,9.7745,-0.549
2,7.5,-0.034,0,-0.034,1.163,-13.648,0.191,-18.0255,-10.0365,0.67,3.904,9.7515,0.368
2,8.5,-0.1715,0,-0.1895,1.54,-16.628,0.2055,-15.609,-9.5355,0.66,4.202,9.7275,45.6515
2,9.5,-0.166,0,-0.166,0.895,-13.4585,0.19,1.0305,-7.4245,0.89,4.37,9.704,182.239
2,10.5,-0.21,0,-0.139,4.684,-8.407,0.233,22.228,-6.397,1.045,4.687,9.6845,342.411
2,11.5,-0.265,0,-0.199,13.666,-13.1465,0.245,40.633,-4.874,1.54,4.526,9.6715,531.177
2,12.5,-0.455,0,-0.356,11.303,-9.737,0.2255,42.333,-4.5715,1.71,4.847,9.665,543.9835
2,13.5,-0.402,0,-0.3015,18.0835,-12.188,0.272,43.298,-3.507,1.77,4.637,9.6785,575.3805
2,14.5,-0.521,0,-0.4635,22.5885,-15.796,0.3075,28.93,-3.388,1.755,5.7865,9.698,538.0485
2,15.5,-0.215,0,-0.1855,10.9885,-20.2945,0.303,3.13,-3.9035,1.875,5.4815,9.7475,350.829
2,16.5,-0.2165,0,-0.146,5.6825,-17.5715,0.2255,-24.5675,-4.0245,1.81,4.739,9.788,159.396
