DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.36565,0,0.36565,0.39875101,-23.7499745,0.24368524,-74.939031,-1.17781999999995,1.8425024,2.52133265,-9999,0
1,1.5,0.38169,0,0.38169,0.1977072,-23.102348,0.243988045,-74.132629,-1.280425,1.99378755,2.495033,-9999,0
1,2.5,0.362505,0,0.362505,0.31877696,-24.574747,0.25660693,-72.9345455,-1.65954,1.8355731,2.51708095,-9999,0
1,3.5,0.3792,0,0.3792,0.044901324,-22.399425,0.22560764,-72.9344015,-1.98395,1.7345078,2.49748705,-9999,0
1,4.5,0.35239,0,0.35239,-0.110141835,-20.974788,0.2151612,-69.66194,-2.40949,1.6205342,2.32662905,-9999,0
1,5.5,0.40276,0,0.40276,0.23914941,-19.065472,0.20351795,-68.405512,-2.55165,1.55642305,2.3899848,-9999,0
1,6.5,0.36866,0,0.36866,-0.004804999465,-24.843134,0.22364609,-70.519574,-2.86171,1.4223585,2.2672949,-9999,0
1,7.5,0.2605,0,0.2605,1.4953886,-16.760561,0.219165165,-30.494165,-2.552965,1.5388167,2.2245817,-9999,55.9879655
1,8.5,-0.060429,0,-0.060429,9.789762,17.3967185,0.321530715,74.899272,-1.09709,1.9874565,2.1926685,-9999,186.3045
1,9.5,-0.49099,0,-0.49099,19.708574,82.615865,0.4431204,218.55476,1.11747,2.8230634,3.01198655,-9999,372.04805
1,10.5,-0.77828,0,-0.77828,24.69548,126.6868,0.49568425,331.767615,2.85381,3.8322319,3.5481296,-9999,522.8313
1,11.5,-0.801435,0,-0.801435,26.5292865,158.05354,0.573831085,391.77708,4.56363,4.7661413,3.9006417,-9999,612.636915
1,12.5,-0.83678,0,-0.83678,29.33919,162.622125,0.61795865,392.10643,5.8432,5.5567086,4.2042823,-9999,623.310255
1,13.5,-0.830665,0,-0.830665,29.9920005,156.0851,0.631360865,341.806,6.62492000000005,6.21226345,4.4322217,-9999,552.5624
1,14.5,-0.678675,0,-0.678675,23.55029,117.21033,0.62106369,232.70693,6.87997,6.4791017,4.3413125,-9999,417.8821
1,15.5,-0.46455,0,-0.46455,17.471197,62.445332,0.587640775,96.237378,6.94428,6.4853236,4.4291139,-9999,245.56415
1,16.5,-0.058278,0,-0.058278,8.859345,-3.538731,0.48300941,-22.587013,6.18809,5.89104045,3.8216734,-9999,68.37998
1,17.5,0.30205,0,0.30205,1.1890204,-29.2582795,0.32364487,-87.856747,4.135345,4.6435813,2.9296149,-9999,0
1,18.5,0.31307,0,0.31307,0.65869424,-28.657256,0.2789263,-82.600833,2.92382,3.8343771,2.843154,-9999,0
1,19.5,0.34949,0,0.34949,0.56007365,-27.423555,0.29498436,-79.776597,1.49927,3.24492095,2.8682593,-9999,0
1,20.5,0.320415,0,0.320415,0.75384548,-27.938151,0.28243684,-78.2526255,0.721615000000015,2.9322317,2.7969354,-9999,0
1,21.5,0.34105,0,0.34105,0.66378783,-28.447317,0.28998526,-77.7072335,0.39296000000002,2.6563759,2.7678259,-9999,0
1,22.5,0.36784,0,0.36784,0.59107425,-28.855344,0.26760452,-77.5722205,-0.196934999999995,2.41240235,2.8105019,-9999,0
1,23.5,0.37161,0,0.37161,0.381837475,-26.153268,0.269848875,-76.353743,-0.55438999999996,2.2714637,2.72948755,-9999,0
2,0.5,0.30531,0,0.30531,0.55682565,-28.270121,0.3061838,-76.904438,0.07645500000001,2.3879699,2.9161344,-9999,0
2,1.5,0.30796,0,0.30796,0.271970025,-27.1002205,0.30976169,-77.824327,-0.257139999999965,2.1498062,2.9891738,-9999,0
2,2.5,0.31493,0,0.31493,0.3657516,-27.020617,0.31745197,-78.942918,-0.61478999999997,1.9310416,2.878077,-9999,0
2,3.5,0.35053,0,0.35053,0.27969132,-22.980624,0.27909617,-76.9442315,-1.162205,1.7442598,2.76941045,-9999,0
2,4.5,0.358635,0,0.358635,0.0867021605,-22.3939875,0.260997015,-75.582624,-1.74849,1.6698292,2.6449245,-9999,0
2,5.5,0.33757,0,0.33757,0.15874036,-18.193784,0.24501837,-73.7663275,-2.32802,1.52390145,2.4739181,-9999,0
2,6.5,0.35362,0,0.35362,0.28505995,-20.614186,0.25787864,-74.162702,-2.53528,1.38553795,2.69879445,-9999,0
2,7.5,0.19457,0,0.19457,2.67718515,-13.390488,0.25362138,-22.653264,-2.40991,1.4024739,2.5416158,-9999,61.88455
2,8.5,-0.290365,0,-0.290365,11.638111,23.372676,0.33928642,85.875375,-0.58319999999998,1.9525962,2.4786656,-9999,197.912095
2,9.5,-0.71924,0,-0.71924,22.732749,95.7459665,0.48894093,239.25235,2.28022,2.8909039,3.42567,-9999,392.17395
2,10.5,-0.947945,0,-0.947945,28.036135,146.123055,0.57450651,355.901655,3.91859,4.04296875,4.1752499,-9999,552.26665
2,11.5,-1.12125,0,-1.12125,30.986785,189.39183,0.61263667,428.08095,5.54016,5.1583489,4.6125881,-9999,649.0247
2,12.5,-1.2447,0,-1.2447,32.802319,203.298915,0.66164269,437.633415,6.77903,6.08492615,4.90760335,-9999,665.726985
2,13.5,-1.1865,0,-1.1865,30.1629975,193.66804,0.67507257,389.77526,7.85508,6.6913496,4.93679645,-9999,610.8823
2,14.5,-0.959505,0,-0.959505,24.5816525,157.726205,0.67847578,290.08047,8.25135,7.02816045,4.93588895,-9999,482.592245
2,15.5,-0.7132,0,-0.7132,19.147825,92.563706,0.64643004,149.66421,8.338815,7.0317545,4.82072665,-9999,305.2224
2,16.5,-0.287105,0,-0.287105,12.2914005,15.908328,0.56689115,3.1285725,7.9757,6.5736011,4.3663606,-9999,121.9612
2,17.5,0.20382,0,0.20382,2.78650315,-23.8609,0.37904829,-86.955903,5.73219,5.2705608,3.31373955,-9999,0
2,18.5,0.319245,0,0.319245,0.54218335,-28.343412,0.2986196,-86.966621,3.79761,4.2392876,3.04272015,-9999,0
2,19.5,0.3178,0,0.3178,0.92440277,-31.6358015,0.29701966,-85.231529,2.545425,3.61297955,2.8798999,-9999,0
2,20.5,0.293415,0,0.293415,0.41179453,-30.505592,0.309780795,-82.13498,1.535865,3.2200365,2.9629695,-9999,0
2,21.5,0.32365,0,0.32365,0.425194285,-31.232994,0.323436465,-81.23362,0.995965000000015,2.7759235,3.03149685,-9999,0
2,22.5,0.33026,0,0.33026,0.23409692,-30.731055,0.31188592,-79.796676,0.66564,2.7014411,2.96084725,-9999,0
2,23.5,0.34695,0,0.34695,0.474267375,-33.1702425,0.31548728,-79.764899,0.47288000000003,2.4933509,2.9645133,-9999,0
