DATE_ID,HOUR_ID,FC,SC,NEE,LE,H,USTAR,NETRAD,TA,VPD,WS,SWC,SW_IN
1,0.5,0.261816863216599,0.0685663503874941,0.299294145876414,0.994597020501878,-11.6934992502167,0.164522367205401,-67.15,2.487825,2.0543,3.52138698322744,-9999,-0.455
1,1.5,0.236547384964875,0.0355128433593261,0.200495237419262,0.326279796636898,-12.2084845357021,0.157463162524394,-64.175,2.0107,1.83095,3.23964862810258,-9999,-0.43
1,2.5,0.306652254178403,0.0404597005648486,0.264144828041802,0.542933411393038,-15.0873628340418,0.158451248566394,-60.485,1.7362,1.7654,3.38648082923524,-9999,-0.4225
1,3.5,0.301861272264126,0.00884537641927043,0.244410568430254,1.22986687473106,-13.3175933243067,0.125948244627223,-62.21,1.30225,1.38985,3.31643147505872,-9999,-0.31
1,4.5,0.249639658844978,0.0511141463522667,0.243609401049864,1.52028443636051,-14.6075404456567,0.144169082744334,-64.14,1.0806,1.5888,3.1850558196146,-9999,-0.4275
1,5.5,0.251754819161474,-0.00629748387912524,0.196004404811316,0.31758531288554,-10.171267917711,0.145128047174748,-67.2,0.944375,1.6922,3.32872227998844,-9999,-0.4675
1,6.5,0.233404853449307,0.0340824166542134,0.26685601320387,1.09812098450561,-15.8318630138481,0.1598922550632,-69.28,0.0988,1.5076,3.15984424670761,-9999,-0.3675
1,7.5,0.307962786012089,-0.00845561833296712,0.339839872473272,1.36446537723323,-14.9031302241115,0.152680381749918,-60.355,0.056125,1.39845,3.24946518664671,-9999,1.1375
1,8.5,0.212097252611661,-0.0101868668615904,0.30037352937442,4.78625702378813,-6.92308238377213,0.215736021895176,4.065,0.2095,1.2439,3.7209781164978,-9999,54.0825
1,9.5,0.0386831953043802,-0.223863158844473,0.364930473980851,21.2850496187333,29.2941617928644,0.302084450231663,104.12,2.10775,1.7363,3.9723976480398,-9999,218.435
1,10.5,-0.038776011719346,-0.0919955246485511,0.173902012010617,35.1401371295061,81.4639239921833,0.397987148971119,235.335,3.96385,2.6834,5.58043491564901,-9999,389.8875
1,11.5,-0.26738406285347,-0.0319668249518808,-0.145030812218877,39.1466907024244,137.777132789473,0.422268446308089,322.49,6.27165,3.7589,5.8982216972293,-9999,509.7775
1,12.5,-0.238918238157447,-0.0407534799360794,-0.248365289940806,37.6993302230208,148.551348105758,0.390455010286825,364.575,7.587275,4.9315,5.70019117326633,-9999,565.3875
1,13.5,-0.266053928153637,-0.0443997853499644,-0.14438595153707,33.0707966928296,149.622172489214,0.4238309917674,343.62,8.97485,5.74525,6.18062934713283,-9999,546.845
1,14.5,-0.191470425527704,-0.0934384966105317,-0.153973965870339,31.5564541405016,128.698959482501,0.448729127939082,270.77,9.694925,6.76435,6.1631694942044,-9999,460.9925
1,15.5,-0.106163672537508,-0.0219392711157657,0.00246666507705411,25.5288222720955,77.933470842629,0.399447492584091,148.42,10.62325,6.9985,5.75801157689571,-9999,310.32
1,16.5,0.150819136239752,0.0010751819506952,0.122569130670513,12.706417589908,22.7837823758396,0.323749118398882,23.095,9.992775,6.4657,4.92018860639519,-9999,130.1575
1,17.5,0.226162118785918,0.0283140869071896,0.145927255107578,3.24727764365702,-9.98092753346561,0.180170460804046,-59.345,8.571925,5.49785,3.86871597930482,-9999,8.2625
1,18.5,0.325403010081423,0.055552991863684,0.169285379544643,1.32187674773939,-12.2786901311077,0.131688413324577,-76.12,7.0402,4.29805,3.65428938368682,-9999,-0.73
1,19.5,0.290736844540116,0.0827918968201784,0.192643503981708,1.14145090868696,-9.29652564336198,0.128796528943126,-70.865,5.8273,3.7517,3.48435333065546,-9999,-0.7225
1,20.5,0.294621013459007,0.034872342653024,0.283154606704923,1.04844007655573,-8.84695599376271,0.130942726911457,-70.45,4.8896,3.2866,3.43164172592844,-9999,-0.53
1,21.5,0.330555829274959,0.0622793104274485,0.283306419784696,1.1887898795464,-14.2678449094279,0.140838653319162,-68.845,4.35505,2.739,3.52248573345654,-9999,-0.55
1,22.5,0.275186798730381,0.0315686088154074,0.181559224169088,0.518538557030902,-15.0880722034418,0.140973171800645,-67.325,3.90265,2.55465,3.57998924344884,-9999,-0.4525
1,23.5,0.304587546912632,0.0269711636577796,0.36356749795234,1.95158899419947,-10.9295942316463,0.154406145343188,-68.005,3.329675,2.2312,3.61973590231522,-9999,-0.395
2,0.5,0.318759774049298,-0.0140149469511979,0.30932204278217,3.03668016835271,-11.1627241138484,0.162716754621915,-73.475,2.34275,1.5556,3.79874214193457,-9999,-0.495
2,1.5,0.324608821103256,0.00574740184599144,0.266098560700709,1.85088844887829,-15.3658263180904,0.18614312308085,-72.035,1.5295,1.56915,3.57165022530698,-9999,-0.525
2,2.5,0.343291032408251,-0.0100204051750038,0.180957804503104,1.07258634892873,-19.7256347153588,0.16412372768015,-71.63,1.34365,1.47955,3.70365699005736,-9999,-0.5275
2,3.5,0.318058760455646,0.016277296644682,0.0958170483054981,0.934908960784551,-16.9085029585662,0.188905461847046,-69.555,1.235225,1.3395,3.64374062887124,-9999,-0.4575
2,4.5,0.460426568505539,-0.0108317007274456,0.149002316676357,1.99009672032872,-17.3473990785327,0.199010337541399,-69.45,0.9889,1.2454,4.19138657344111,-9999,-0.4775
2,5.5,0.35635568265962,0.061232741436051,0.255860692065409,2.78424266836678,-22.3577798993671,0.21124271015696,-68.595,0.5866,1.0948,4.14418882256091,-9999,-0.4325
2,6.5,0.38933295204137,0.0176205824647705,0.207364745014799,3.03904234363943,-18.6292177550939,0.212534693448624,-65.14,0.243325,1.00635,4.17747159793184,-9999,-0.28
2,7.5,0.329768013355337,0.0188181534053532,0.281590597406008,3.13334926429019,-13.6834649720777,0.183890584602005,-55.285,0.0635,0.9654,3.75682812276309,-9999,1.2575
2,8.5,0.292851288104528,-0.00608516221280303,0.231650082873156,6.80285346979679,-0.881758335107416,0.256432627671733,7.27,0.7537,1.171,4.28461707472682,-9999,62.295
2,9.5,0.174526321427132,0.00822049823942915,0.119203441595019,19.0146882604406,32.6436138124173,0.335071869744993,110.285,2.670375,1.6896,5.03746501116118,-9999,221.6925
2,10.5,0.0100022741682047,-0.046482388011639,-0.0565530709390012,24.2482709560859,64.1787137709368,0.372766254349032,244.135,4.359225,2.5479,5.27187274252857,-9999,392.5675
2,11.5,-0.218201953561826,-0.0546017596379541,-0.186211084233045,27.1875664934251,123.421700455272,0.397404111609997,336.51,5.97355,3.3281,4.65304882826804,-9999,516.23
2,12.5,-0.182258432690711,-0.0287426935991679,-0.313173199761576,26.4751938190796,148.086814816057,0.429547439796766,392.905,7.23395,4.0921,4.9810180712388,-9999,600.825
